sample	id	taxid	name	rank	nalign	nreads	mean_rlen	var_rlen	mean_gc	var_gc	lca	taxa_path	A	q	c	phi	llh	ncall	sigmaD	Zfit	A_b	q_b	c_b	phi_b	A_CI_l	A_CI_h	q_CI_l	q_CI_h	c_CI_l	c_CI_h	phi_CI_l	phi_CI_h	fwK0	fwN0	fwf0	fwdx0	fwdxConf0	fwK1	fwN1	fwf1	fwdx1	fwdxConf1	fwK2	fwN2	fwf2	fwdx2	fwdxConf2	fwK3	fwN3	fwf3	fwdx3	fwdxConf3	fwK4	fwN4	fwf4	fwdx4	fwdxConf4	bwK0	bwN0	bwf0	bwdx0	bwdxConf0	bwK1	bwN1	bwf1	bwdx1	bwdxConf1	bwK2	bwN2	bwf2	bwdx2	bwdxConf2	bwK3	bwN3	bwf3	bwdx3	bwdxConf3	bwK4	bwN4	bwf4	bwdx4	bwdxConf4
simadna_100.fq	simadna_100.fq	1	"root"	"no rank"	57409	14888	70.283969	313.174624	0.420878	0.004947	1:"root":"no rank"	1:"root":"no rank"	0.016271	0.000000	0.000000	7251.235831	-44.660075	4568.000000	0.001910	8.517003	0.007704	0.153681	0.008797	7239.425233	0.000012	0.017017	0.000000	1.000000	0.000000	0.016570	2666.594469	12497.800096	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	2759	"Eukaryota"	"domain"	57409	14888	71.155878	320.138428	0.416227	0.004910	2759:"Eukaryota":"domain"	2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000164	0.000000	0.016107	7251.612624	-44.660075	2719.000000	0.000193	0.847675	0.006734	0.153667	0.009767	7241.218202	0.000000	0.017017	0.000000	1.000000	0.000000	0.016532	2666.590616	12497.292227	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	6072	"Eumetazoa"	"clade"	57409	14888	72.153793	325.717923	0.409667	0.004852	6072:"Eumetazoa":"clade"	6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000536	0.000000	0.015735	7250.514621	-44.660075	1489.000000	0.000350	1.533976	0.006267	0.169255	0.010234	7238.258823	0.000000	0.017017	0.000000	1.000000	0.000000	0.016570	2666.587171	12496.849655	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	7711	"Chordata"	"phylum"	57409	14888	72.654672	327.289340	0.404922	0.004807	7711:"Chordata":"phylum"	7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000565	0.000000	0.015706	7251.534066	-44.660075	2011.000000	0.000359	1.574814	0.005455	0.156467	0.011045	7243.362941	0.000000	0.017017	0.000000	1.000000	0.000000	0.016571	2666.607745	12501.780371	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	7742	"Vertebrata"	"clade"	57409	14888	72.705030	328.314916	0.403544	0.004793	7742:"Vertebrata":"clade"	7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.008589	0.000000	0.007682	7252.151111	-44.660075	1370.000000	0.001393	6.164291	0.005646	0.153770	0.010852	7236.619754	0.000000	0.017017	0.000000	1.000000	0.000000	0.016570	2666.599512	12499.287803	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	7776	"Gnathostomata"	"clade"	57409	14888	72.655293	329.317879	0.403512	0.004791	7776:"Gnathostomata":"clade"	7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000083	0.000000	0.016188	7251.813669	-44.660075	6586.000000	0.000138	0.603321	0.006174	0.164299	0.010327	7232.569153	0.000000	0.017017	0.000000	1.000000	0.000000	0.016560	2666.579014	12504.939335	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	8287	"Sarcopterygii"	"superclass"	57409	14888	72.269076	334.322532	0.405876	0.004808	8287:"Sarcopterygii":"superclass"	8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.016271	0.000000	0.000000	7251.760190	-44.660075	1430.000000	0.001910	8.517184	0.006754	0.182016	0.009743	7236.957904	0.000000	0.017017	0.000000	1.000000	0.000000	0.016532	2666.590058	12498.173384	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	9347	"Eutheria"	"clade"	57409	14888	71.064002	318.841274	0.408899	0.004777	9347:"Eutheria":"clade"	9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000951	0.000000	0.015319	7251.719668	-44.660075	3830.000000	0.000466	2.043761	0.007356	0.153734	0.009145	7242.898394	0.000000	0.017017	0.000000	1.000000	0.000000	0.016532	2666.574831	12496.828966	138	11094	0.012439	0.016271	0.001910	192	11118	0.017269	0.016271	0.001910	208	11305	0.018399	0.016271	0.001903	175	11021	0.015879	0.016271	0.001913	173	11334	0.015264	0.016271	0.001902	200	10331	0.019359	0.016271	0.001938	167	10576	0.015790	0.016271	0.001929	157	10938	0.014354	0.016271	0.001916	186	10864	0.017121	0.016271	0.001918	189	11184	0.016899	0.016271	0.001907
simadna_100.fq	simadna_100.fq	9348	"Xenarthra"	"superorder"	1	1	52.000000	0.000000	0.557692	0.000000	9348:"Xenarthra":"superorder"	9348:"Xenarthra":"superorder";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000000	1.000000	0.000000	5.373503	-0.000000	213.000000	0.000100	0.000100	0.333523	1.000000	0.000000	5.448872	0.000000	0.763280	1.000000	1.000000	0.000000	0.000000	2.000000	8.969062	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.000000	0.000000	0	1	0.000000	0.000000	0.000100	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000	0	0	0.000000	0.000000	0.000000
simadna_100.fq	simadna_100.fq	9443	"Primates"	"order"	4896	1179	61.841184	198.490423	0.444169	0.005323	9443:"Primates":"order"	9443:"Primates":"order";314146:"Euarchontoglires":"superorder";1437010:"Boreoeutheria":"clade";9347:"Eutheria":"clade";32525:"Theria":"clade";40674:"Mammalia":"class";32524:"Amniota":"clade";32523:"Tetrapoda":"clade";1338369:"Dipnotetrapodomorpha":"clade";8287:"Sarcopterygii":"superclass";117571:"Euteleostomi":"clade";117570:"Teleostomi":"clade";7776:"Gnathostomata":"clade";7742:"Vertebrata":"clade";89593:"Craniata":"subphylum";7711:"Chordata":"phylum";33511:"Deuterostomia":"clade";33213:"Bilateria":"clade";6072:"Eumetazoa":"clade";33208:"Metazoa":"kingdom";33154:"Opisthokonta":"clade";2759:"Eukaryota":"domain";131567:"cellular organisms":"cellular root";1:"root":"no rank"	0.000150	0.000000	0.015043	1435.562096	-30.652601	3554.000000	0.000492	0.305168	0.008829	0.383832	0.008409	2607.395995	0.000051	0.017468	0.000000	1.000000	0.000000	0.016884	298.147585	8585.176753	13	1091	0.011916	0.015193	0.004911	28	1114	0.025135	0.015193	0.004882	22	1146	0.019197	0.015193	0.004844	17	1123	0.015138	0.015193	0.004871	16	1065	0.015023	0.015193	0.004945	18	994	0.018109	0.015193	0.005046	7	1098	0.006375	0.015193	0.004902	13	1031	0.012609	0.015193	0.004992	12	1031	0.011639	0.015193	0.004992	17	1024	0.016602	0.015193	0.005002
