RG	RawReads	ReadsL35	FinalNoPCRDups	AvrgTimesSeen	Family	Species	ReadsMapped	ReadsDeduped	Ancientness	ReadsDeam1Term	ReadsDeam3Term	Deam5_95CI	Deam3_95CI	Deam5Cond_95CI	Deam3Cond_95CI	MeanFragmentLength	MeanFragmentLength_Deam
simadna.fq	499908	499908	499898	 1.0	Bovidae	Addax_nasomaculatus	52	52	-	1	2	16.7 (0.4,64.1)	0.0 (0.0,28.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.8	38.0
simadna.fq	499908	499908	499898	 1.0	Bovidae	Aepyceros_melampus	49	49	-	1	1	9.1 (0.2,41.3)	0.0 (0.0,41.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	48.0	51.0
simadna.fq	499908	499908	499898	 1.0	Bovidae	Alcelaphus_buselaphus	54	54	-	2	3	8.3 (0.2,38.5)	12.5 (0.3,52.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.0	40.3
simadna.fq	499908	499908	499898	 1.0	Bovidae	Ammotragus_lervia	52	52	-	1	4	9.1 (0.2,41.3)	0.0 (0.0,28.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.4	40.2
simadna.fq	499908	499908	499898	 1.0	Bovidae	Antidorcas_marsupialis	41	41	-	0	2	0.0 (0.0,30.8)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.2	43.5
simadna.fq	499908	499908	499898	 1.0	Bovidae	Antilope_cervicapra	59	59	-	2	6	7.1 (0.2,33.9)	7.7 (0.2,36.0)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	44.3	44.8
simadna.fq	499908	499908	499898	 1.0	Bovidae	Arabitragus_jayakari	45	45	-	0	0	0.0 (0.0,33.6)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.5	N/A
simadna.fq	499908	499908	499898	 1.0	Bovidae	Beatragus_hunteri	58	58	-	3	3	16.7 (2.1,48.4)	6.2 (0.2,30.2)	N/A (N/A,N/A)	0.0 (0.0,97.5)	45.8	44.0
simadna.fq	499908	499908	499898	 1.0	Bovidae	Bison_bison	601	595	-	10	29	2.8 (0.8,7.0)	5.2 (1.9,11.0)	N/A (N/A,N/A)	0.0 (0.0,97.5)	49.6	51.8
simadna.fq	499908	499908	499898	 1.0	Bovidae	Bison_bonasus	685	678	-	9	26	4.2 (1.7,8.5)	1.6 (0.2,5.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.1	47.1
simadna.fq	499908	499908	499898	 1.0	Bovidae	Bison_priscus	621	616	-	11	30	3.4 (1.1,7.7)	5.0 (1.9,10.6)	N/A (N/A,N/A)	0.0 (0.0,97.5)	49.6	51.5
simadna.fq	499908	499908	499898	 1.0	Bovidae	Bison_schoetensacki	697	687	-	9	28	4.3 (1.8,8.8)	1.5 (0.2,5.4)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	50.6	51.6
