RG	FinalReads	EukaTaxa	Order	Family
simadna_10.fq	11151	Bovidae	Artiodactyla	Bovidae
simadna_10.fq	1677	Proboscidea	Proboscidea	null
simadna_10.fq	387	Felidae	Carnivora	Felidae
simadna_10.fq	398	Homininae	Primates	Hominidae
simadna_10.fq	4012	Carnivora	Carnivora	null
simadna_10.fq	5743	Suina	Artiodactyla	null
simadna_hd_10.fq	1234	Proboscidea	Proboscidea	null
simadna_hd_10.fq	230	Felidae	Carnivora	Felidae
simadna_hd_10.fq	2377	Carnivora	Carnivora	null
simadna_hd_10.fq	251	Homininae	Primates	Hominidae
simadna_hd_10.fq	3999	Suina	Artiodactyla	null
simadna_hd_10.fq	7946	Bovidae	Artiodactyla	Bovidae
simadna_md_10.fq	10776	Bovidae	Artiodactyla	Bovidae
simadna_md_10.fq	1608	Proboscidea	Proboscidea	null
simadna_md_10.fq	364	Felidae	Carnivora	Felidae
simadna_md_10.fq	3820	Carnivora	Carnivora	null
simadna_md_10.fq	384	Homininae	Primates	Hominidae
simadna_md_10.fq	5520	Suina	Artiodactyla	null
