#Taxa	detected	Number_of_reads	proportion_estimate	85%_confidence_interval_lower_bound	85%_confidence_interval_higher_bound	95%_confidence_interval_lower_bound	95%_confidence_interval_higher_bound
Acalyptratae	no	0	0	0	0	0	0
Acaroidea	no	0	0	0	0	0	0
Accipitridae	no	0	0	0	0	0	0
Accipitriformes	no	1	0	0	0	0	0
Achelata	no	0	0	0	0	0	0
Acraea	no	0	0	0	0	0	0
Acrididae	no	6	0	0	0	0	0
Acridomorpha	no	0	0	0	0	0	0
Acrodonta	no	0	0	0	0	0	0
Adephaga	no	0	0	0	0	0	0
Afrotheria	no	638	0	0	0	0	0
Aleocharinae	no	0	0	0	0	0	0
Aleyrodoidea	no	0	0	0	0	0	0
Alpheoidea	no	0	0	0	0	0	0
Ambystoma	no	5	0	0	0	0	0
Americhelydia	no	2	0	0	0	0	0
Amphisbaenia	no	0	0	0	0	0	0
Anareolatae	no	0	0	0	0	0	0
Anatidae	no	279	0	0	0	0	0
Anguimorpha	no	1	0	0	0	0	0
Anomaluromorpha	no	52	0	0	0	0	0
Anomopoda	no	0	0	0	0	0	0
Anopheles	no	0	0	0	0	0	0
Anostraca	no	0	0	0	0	0	0
Anura	no	0	0	0	0	0	0
Aphidinae	no	0	0	0	0	0	0
Aphidomorpha	no	0	0	0	0	0	0
Apidae	no	0	0	0	0	0	0
Apocrita	no	0	0	0	0	0	0
Apodiformes	no	408	0	0	0	0	0
Apoditrysia	no	0	0	0	0	0	0
Arachnida	no	0	0	0	0	0	0
Aradidae	no	0	0	0	0	0	0
Araneae	no	0	0	0	0	0	0
Archaeognatha	no	0	0	0	0	0	0
Arctiinae	no	0	0	0	0	0	0
Argasidae	no	0	0	0	0	0	0
Astacidea	no	3	0	0	0	0	0
Astigmata	no	0	0	0	0	0	0
Athyma	no	0	0	0	0	0	0
Atkinsoniella	no	4	0	0	0	0	0
Atyoidea	no	0	0	0	0	0	0
Azeliinae	no	0	0	0	0	0	0
Bactrocera	no	0	0	0	0	0	0
Balanomorpha	no	0	0	0	0	0	0
Bifurcata	no	0	0	0	0	0	0
Blattodea	no	0	0	0	0	0	0
Bombycidae	no	0	0	0	0	0	0
Bostrichiformia	no	0	0	0	0	0	0
Bovidae	yes	1077550	0.471026	0.441596	0.501175	0.424183	0.518991	
Braconidae	no	0	0	0	0	0	0
Bucerotiformes	no	0	0	0	0	0	0
Buprestidae	no	0	0	0	0	0	0
Calliphoridae	no	0	0	0	0	0	0
Callosciurinae	yes	940	0.000411263	0.000365512	0.000462786	0.0003418	0.000497316	
Calopterygoidea	no	0	0	0	0	0	0
Calyptratae	no	0	0	0	0	0	0
Canidae	yes	2876	0.00125585	0.00111579	0.00141714	0.00104225	0.00152197	
Caniformia	no	1169	0	0	0	0	0
Carabinae	no	0	0	0	0	0	0
Cardinalidae	no	0	0	0	0	0	0
Caridea	no	2	0	0	0	0	0
Carnivora	yes	381319	0.166986	0.150427	0.184721	0.141327	0.195756	
Caudata	no	22	0	0	0	0	0
Cavilabiata	no	0	0	0	0	0	0
Cephalophus	yes	487	0.000212924	0.000189088	0.000239145	0.000175982	0.000256658	
Cerambycinae	no	0	0	0	0	0	0
Cercopithecidae	no	208	0	0	0	0	0
Cervus	no	41	0	0	0	0	0
Cetacea	yes	803	0.000351276	0.000310955	0.000396049	0.000290354	0.000424589	
Charadriiformes	no	8	0	0	0	0	0
Chelodina	no	10	0	0	0	0	0
Chelonoidis	no	0	0	0	0	0	0
Cherax	no	131	0	0	0	0	0
Chironominae	no	0	0	0	0	0	0
Chrysomus	no	0	0	0	0	0	0
Cicadettinae	no	0	0	0	0	0	0
Cimicomorpha	no	1	0	0	0	0	0
Cingulata	no	1730	0	0	0	0	0
Coccinellinae	no	0	0	0	0	0	0
Coenagrionoidea	no	0	0	0	0	0	0
Coleoptera	no	0	0	0	0	0	0
Colubridae	no	9	0	0	0	0	0
Colubroidea	no	21	0	0	0	0	0
Coptotermes	no	0	0	0	0	0	0
Coraciiformes	no	1	0	0	0	0	0
Coreidae	no	0	0	0	0	0	0
Coronuloidea	no	0	0	0	0	0	0
Corvoidea	no	353	0	0	0	0	0
Corvus	no	2	0	0	0	0	0
Cossoidea	no	0	0	0	0	0	0
Crambidae	no	0	0	0	0	0	0
Crangonyctoidea	no	0	0	0	0	0	0
Cricetidae	no	136	0	0	0	0	0
Crocidura	no	22	0	0	0	0	0
Crocodylia	no	7	0	0	0	0	0
Crocodylus	no	0	0	0	0	0	0
Cryptodira	no	0	0	0	0	0	0
Cryptorhynchinae	no	0	0	0	0	0	0
Cucujiformia	no	0	0	0	0	0	0
Cucujoidea	no	0	0	0	0	0	0
Cuculiformes	no	0	0	0	0	0	0
Culex	no	0	0	0	0	0	0
Culicinae	no	0	0	0	0	0	0
Culicomorpha	no	0	0	0	0	0	0
Darevskia	no	0	0	0	0	0	0
Dermacentor	no	0	0	0	0	0	0
Didelphidae	no	15	0	0	0	0	0
Dionycha	no	0	0	0	0	0	0
Dipodidae	no	0	0	0	0	0	0
Diprotodontia	no	174	0	0	0	0	0
Ditrysia	no	0	0	0	0	0	0
Dolichopodidae	no	0	0	0	0	0	0
Emberiza	no	23	0	0	0	0	0
Empidoidea	no	0	0	0	0	0	0
Endopterygota	no	0	0	0	0	0	0
Epeorus	no	0	0	0	0	0	0
Epiprocta	no	0	0	0	0	0	0
Equus	no	713	0	0	0	0	0
Eremias	no	2	0	0	0	0	0
Eulipotyphla	yes	4138	0.00180901	0.00160385	0.00203152	0.00149846	0.0021733	
Eumantodea	no	0	0	0	0	0	0
Felidae	yes	37003	0.0161682	0.0143552	0.0181487	0.0134179	0.019407	
Folivora	no	836	0	0	0	0	0
Fordinae	no	0	0	0	0	0	0
Formicidae	no	0	0	0	0	0	0
Fulgoroidea	no	0	0	0	0	0	0
Galliformes	no	250	0	0	0	0	0
Garrulax	no	20	0	0	0	0	0
Gebiidea	no	0	0	0	0	0	0
Gekkonidae	no	0	0	0	0	0	0
Geometridae	no	0	0	0	0	0	0
Glires	no	116	0	0	0	0	0
Gonodactyloidea	no	0	0	0	0	0	0
Grapsoidea	no	1	0	0	0	0	0
Gruiformes	no	3	0	0	0	0	0
Grus	no	0	0	0	0	0	0
Gryllidea	no	16	0	0	0	0	0
Gymnophiona	no	0	0	0	0	0	0
Hadziida	no	1	0	0	0	0	0
Haemaphysalis	no	0	0	0	0	0	0
Harpalinae	no	0	0	0	0	0	0
Henophidia	no	0	0	0	0	0	0
Hepialoidea	no	0	0	0	0	0	0
Hesperiidae	no	0	0	0	0	0	0
Heterotermes	no	0	0	0	0	0	0
Heterotremata	no	2	0	0	0	0	0
Hippoboscoidea	no	0	0	0	0	0	0
Hirundo	no	3	0	0	0	0	0
Homininae	yes	38780	0.0169806	0.0150706	0.0190371	0.0140318	0.020375	
Hominoidea	no	77	0	0	0	0	0
Hydropsychoidea	no	0	0	0	0	0	0
Hymenopodidae	no	0	0	0	0	0	0
Hymenoptera	no	0	0	0	0	0	0
Hynobius	no	0	0	0	0	0	0
Hypsiglena	no	0	0	0	0	0	0
Hystricomorpha	no	138	0	0	0	0	0
Isotomidae	no	2	0	0	0	0	0
Ixodes	no	0	0	0	0	0	0
Junonia	no	0	0	0	0	0	0
Lacertibaenia	no	12	0	0	0	0	0
Lampyridae	no	0	0	0	0	0	0
Lepadoidea	no	0	0	0	0	0	0
Lepilemur	no	527	0	0	0	0	0
Lepus	no	30	0	0	0	0	0
Lethe	no	0	0	0	0	0	0
Limenitidinae	no	0	0	0	0	0	0
Limenitis	no	1	0	0	0	0	0
Lonchura	no	196	0	0	0	0	0
Lorisiformes	no	42	0	0	0	0	0
Lucanidae	no	1	0	0	0	0	0
Luperina	no	0	0	0	0	0	0
Lycaenidae	no	0	0	0	0	0	0
Lycosoidea	no	0	0	0	0	0	0
Macaca	no	28	0	0	0	0	0
Macroglossinae	no	0	0	0	0	0	0
Macrotermes	no	1	0	0	0	0	0
Majoidea	no	0	0	0	0	0	0
Manis	no	250	0	0	0	0	0
Mantidae	no	0	0	0	0	0	0
Martes	no	878	0	0	0	0	0
Megachiroptera	no	1363	0	0	0	0	0
Meliphagoidea	no	0	0	0	0	0	0
Merostomata	no	0	0	0	0	0	0
Metatheria	no	140	0	0	0	0	0
Microcebus	no	394	0	0	0	0	0
Microchiroptera	yes	2369	0.00103499	0.000919792	0.00116446	0.000860655	0.00125114	
Microhylidae	no	2	0	0	0	0	0
Microtus	no	4	0	0	0	0	0
Muridae	yes	1026	0.000448679	0.000397751	0.000506149	0.000369194	0.000542496	
Mus	no	43	0	0	0	0	0
Muscicapidae	no	2	0	0	0	0	0
Mustela	no	1138	0	0	0	0	0
Mustelidae	yes	2799	0.00122508	0.00108721	0.0013783	0.00101516	0.0014793	
Myomorpha	no	616	0	0	0	0	0
Myotis	no	457	0	0	0	0	0
Myrmeleontidae	no	0	0	0	0	0	0
Myrmicinae	no	0	0	0	0	0	0
Nasutitermes	no	0	0	0	0	0	0
Nematocera	no	0	0	0	0	0	0
Nemouridae	no	0	0	0	0	0	0
Neobatrachia	no	42	0	0	0	0	0
Neognathae	no	101	0	0	0	0	0
Nesophrosyne	no	0	0	0	0	0	0
Neuropterida	no	0	0	0	0	0	0
Noctuidae	no	0	0	0	0	0	0
Nolidae	no	0	0	0	0	0	0
Notodontidae	no	0	0	0	0	0	0
Notostraca	no	0	0	0	0	0	0
Nymphalinae	no	1	0	0	0	0	0
Obtectomera	no	0	0	0	0	0	0
Ochthebius	no	0	0	0	0	0	0
Ocypodidae	no	0	0	0	0	0	0
Odontoceti	yes	1416	0.00061945	0.000551079	0.000696718	0.000513919	0.000745771	
Oestroidea	no	0	0	0	0	0	0
Olethreutinae	no	0	0	0	0	0	0
Orbiculariae	no	0	0	0	0	0	0
Orconectes	no	0	0	0	0	0	0
Ornithodoros	no	0	0	0	0	0	0
Otariidae	yes	4102	0.00179065	0.00159463	0.00201335	0.0014917	0.00215631	
Paguroidea	no	0	0	0	0	0	0
Palaemonoidea	no	0	0	0	0	0	0
Palaeognathae	no	2	0	0	0	0	0
Pamphagidae	no	4	0	0	0	0	0
Panheteroptera	no	22	0	0	0	0	0
Pannota	no	0	0	0	0	0	0
Papilio	no	0	0	0	0	0	0
Papilionidae	no	0	0	0	0	0	0
Papilioninae	no	0	0	0	0	0	0
Papilionoidea	no	0	0	0	0	0	0
Parastacoidea	no	0	0	0	0	0	0
Paridae	no	33	0	0	0	0	0
Parnassiinae	no	0	0	0	0	0	0
Passeriformes	no	38	0	0	0	0	0
Passeroidea	no	41	0	0	0	0	0
Pecora	yes	2152	0.000941489	0.000836466	0.00106039	0.000779678	0.00113785	
Pelecaniformes	no	37	0	0	0	0	0
Penaeoidea	no	0	0	0	0	0	0
Pentastomida	no	0	0	0	0	0	0
Pentatomomorpha	no	1	0	0	0	0	0
Perissodactyla	no	1100	0	0	0	0	0
Perlidae	no	0	0	0	0	0	0
Petroicidae	no	0	0	0	0	0	0
Phlaeothripidae	no	0	0	0	0	0	0
Phocidae	yes	1587	0.000694052	0.000616403	0.000782	0.000574939	0.000838922	
Phrynocephalus	no	2	0	0	0	0	0
Phyllostomidae	yes	795	0.000347842	0.000308732	0.00039245	0.000287813	0.00042096	
Phymatidae	no	0	0	0	0	0	0
Piciformes	no	11	0	0	0	0	0
Pieridae	no	1	0	0	0	0	0
Pitheciidae	no	21	0	0	0	0	0
Platypezoidea	no	0	0	0	0	0	0
Platyrrhini	no	556	0	0	0	0	0
Plecoptera	no	1	0	0	0	0	0
Pleocyemata	no	0	0	0	0	0	0
Plethodontidae	no	108	0	0	0	0	0
Poduromorpha	no	0	0	0	0	0	0
Prioninae	no	0	0	0	0	0	0
Proboscidea	yes	163388	0.0716195	0.0639208	0.0799993	0.059867	0.0854667	
Procellariiformes	no	0	0	0	0	0	0
Proechimys	no	174	0	0	0	0	0
Protobothrops	no	0	0	0	0	0	0
Psittaciformes	no	11	0	0	0	0	0
Psoroptidia	no	0	0	0	0	0	0
Psychodoidea	no	0	0	0	0	0	0
Pteropodidae	no	206	0	0	0	0	0
Pteropodinae	no	166	0	0	0	0	0
Pyralidae	no	0	0	0	0	0	0
Pyrgomorphoidea	no	0	0	0	0	0	0
Rana	no	0	0	0	0	0	0
Ranoidea	no	1	0	0	0	0	0
Rattus	no	783	0	0	0	0	0
Reduvioidea	no	2	0	0	0	0	0
Reticulitermes	no	0	0	0	0	0	0
Rhacophoridae	no	7	0	0	0	0	0
Rhinolophus	yes	1001	0.000437156	0.000388775	0.000491764	0.000364157	0.000528192	
Rodentia	no	1	0	0	0	0	0
Ruminantia	no	191	0	0	0	0	0
Salamandridae	no	3	0	0	0	0	0
Sarcophaga	no	0	0	0	0	0	0
Saturniidae	no	0	0	0	0	0	0
Satyrini	no	0	0	0	0	0	0
Scandentia	no	274	0	0	0	0	0
Scarabaeiformia	no	0	0	0	0	0	0
Sciaroidea	no	0	0	0	0	0	0
Scincidae	no	955	0	0	0	0	0
Sciurinae	no	64	0	0	0	0	0
Setisura	no	0	0	0	0	0	0
Silphidae	no	0	0	0	0	0	0
Sinopodisma	no	0	0	0	0	0	0
Smerinthinae	no	1	0	0	0	0	0
Sorex	no	430	0	0	0	0	0
Sphenisciformes	no	59	0	0	0	0	0
Staphyliniformia	no	0	0	0	0	0	0
Stratiomyidae	no	0	0	0	0	0	0
Strepsirrhini	no	327	0	0	0	0	0
Sturnidae	no	4	0	0	0	0	0
Suina	yes	553533	0.242678	0.220571	0.26631	0.208525	0.280808	
Sylvioidea	no	166	0	0	0	0	0
Syrphidae	no	0	0	0	0	0	0
Syrphinae	no	0	0	0	0	0	0
Tabaninae	no	0	0	0	0	0	0
Tarsiiformes	no	17	0	0	0	0	0
Tenthredinidae	no	0	0	0	0	0	0
Tephritidae	no	0	0	0	0	0	0
Termitidae	no	5	0	0	0	0	0
Termitinae	no	2	0	0	0	0	0
Testudines	no	12	0	0	0	0	0
Testudinoidea	no	49	0	0	0	0	0
Tetrigoidea	no	0	0	0	0	0	0
Tettigoniidea	no	1	0	0	0	0	0
Tettigonioidea	no	4	0	0	0	0	0
Thraupidae	no	0	0	0	0	0	0
Thripidae	no	0	0	0	0	0	0
Tinamiformes	no	1	0	0	0	0	0
Tingoidea	no	0	0	0	0	0	0
Tipuloidea	no	0	0	0	0	0	0
Tortricidae	no	0	0	0	0	0	0
Toxicofera	no	544	0	0	0	0	0
Trachypithecus	no	36	0	0	0	0	0
Turdus	no	2	0	0	0	0	0
Tylopoda	no	45	0	0	0	0	0
Typhlatya	no	0	0	0	0	0	0
Tyrannidae	no	3	0	0	0	0	0
Unipeltata	no	0	0	0	0	0	0
Ursidae	yes	2189	0.000957441	0.000849384	0.00107788	0.000791553	0.00115783
Vermilingua	no	141	0	0	0	0	0
Vespoidea	no	0	0	0	0	0	0
Viperidae	no	0	0	0	0	0	0
Xanthoidea	no	0	0	0	0	0	0
Xenopus	no	293	0	0	0	0	0
Xerinae	no	110	0	0	0	0	0
Yponomeutoidea	no	0	0	0	0	0	0
Zygaenidae	no	0	0	0	0	0	0
Zygentoma	no	0	0	0	0	0	0
