RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	Kmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna_1000.fq	4999210	4999210	4999210	1149 (10886)	0.8278 (0.2576)	1290.0 (1140.0)	f	652351	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	650197	0.9966	31492	20.6464	16399	29935	16003	21.07	-	37	102	0.3 (0.2,0.5)	0.3 (0.2,0.5)	0.0 (0.0,45.9)	0.0 (0.0,60.2)	50.4	52.3	96.84	0.995	1.0	0.995
simadna_1000.fq	4999210	4999210	4999210	1379 (11465)	0.7273 (0.166)	88.2 (85.9)	f	46477	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	46409	0.9985	24403	1.9017	16505	23229	16379	16.35	-	40	135	0.3 (0.2,0.5)	0.5 (0.3,0.7)	0.0 (0.0,33.6)	0.0 (0.0,84.2)	55.9	56.7	82.54	0.996	1.0	0.996
simadna_1000.fq	4999210	4999210	4999210	279 (15743)	0.06104 (0.02691)	1.17 (1500.0)	f	1293040	Artiodactyla	Bovidae	Bos_gaurus	best	910170	0.7038	27261	33.3872	16121	25933	15744	18.25	-	582	1724	5.6 (5.0,6.3)	5.9 (5.2,6.5)	4.3 (0.5,14.5)	3.1 (0.4,10.7)	48.3	47.5	80.74	0.986	1.0	0.986
simadna_1000.fq	4999210	4999210	4999210	8369 (9721)	0.8504 (0.4802)	4120.0 (4000.0)	f	2124211	Carnivora	Hyaenidae	Crocuta_crocuta	best	2057695	0.9686	32397	63.5149	16818	30450	16244	21.43	-	123	348	1.1 (0.8,1.3)	0.8 (0.6,1.1)	0.0 (0.0,30.8)	0.0 (0.0,28.5)	46.3	47.4	88.03	0.981	1.0	0.981
simadna_1000.fq	4999210	4999210	4999210	840 (13809)	0.6709 (0.381)	357.0 (343.0)	f	193941	Proboscidea	Elephantidae	Mammuthus_primigenius	best	193935	0.9999	32243	6.0147	16450	31603	16304	22.24	-	32	104	0.3 (0.2,0.4)	0.3 (0.2,0.4)	0.0 (0.0,70.8)	N/A (N/A,N/A)	60.0	60.0	115.31	0.98	1.0	0.98
simadna_hd_1000.fq	4999234	4999234	4999234	1065 (19882)	0.8506 (0.5486)	160.0 (136.0)	f	163610	Proboscidea	Elephantidae	Mammuthus_primigenius	best	163429	0.9988	31904	5.1225	16450	31263	16304	19.62	++	2904	5879	26.3 (25.2,27.5)	24.9 (23.7,26.0)	27.4 (22.4,32.9)	24.0 (19.5,28.9)	59.8	63.3	113.82	0.98	1.0	0.98
simadna_hd_1000.fq	4999234	4999234	4999234	1234 (16264)	0.889 (0.3849)	672.0 (437.0)	f	519104	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	549496	1.0585	31478	17.4565	16448	29935	16126	18.79	++	2107	3849	18.8 (17.8,19.8)	18.3 (17.3,19.4)	14.4 (9.8,20.2)	12.8 (8.7,17.9)	50.5	52.1	96.74	0.998	1.0	0.998
simadna_hd_1000.fq	4999234	4999234	4999234	1472 (17063)	0.7764 (0.2471)	42.8 (31.6)	f	37958	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	35440	0.9336	20673	1.7143	16565	19734	16442	12.38	++	2392	4833	30.1 (28.7,31.6)	30.1 (28.7,31.5)	24.0 (19.2,29.4)	25.3 (20.2,30.9)	55.6	55.5	69.54	1.0	1.0	1.0
simadna_hd_1000.fq	4999234	4999234	4999234	152 (7156)	0.03493 (0.0373)	31.5 (30.7)	f	29248	Artiodactyla	Cervidae	Muntiacus_muntjak	best	7860	0.2687	2365	3.3234	9626	2181	9152	1.36	++	142	341	14.0 (11.0,17.5)	18.3 (14.8,22.3)	9.1 (1.1,29.2)	11.1 (1.4,34.7)	45.6	45.8	6.6	0.588	0.997	0.59
simadna_hd_1000.fq	4999234	4999234	4999234	824 (32847)	0.1803 (0.05616)	66.5 (427.0)	f	1080159	Artiodactyla	Bovidae	Bos_gaurus	best	590346	0.5465	28159	20.9647	16211	26747	15869	16.78	++	1408	3092	13.9 (13.0,14.9)	15.7 (14.7,16.8)	11.0 (6.4,17.2)	11.0 (6.4,17.2)	47.6	49.1	82.3	0.991	1.0	0.991
