Method	dataset	runtime	runtime2	runtime3
quicksand	simadna_01	1m7.469	1m6.529	0m56.179
quicksand	simadna_1	1m8.263	1m3.200	0m59.408
quicksand	simadna_10	1m37.479	1m37.397	1m36.462
quicksand	simadna_100	2m13.291	3m13.191	3m15.545
quicksand	simadna_1000	14m41.213		
BLAST/MEGAN	simadna_01	5m16.486		
BLAST/MEGAN	simadna_1	7m40.112		
BLAST/MEGAN	simadna_10	16m51.672		
BLAST/MEGAN	simadna_100	50m		
BLAST/MEGAN	simadna_1000	243m		
euka	simadna_01	1m24.139		
euka	simadna_1	1m24.949		
euka	simadna_10	1m31.621		
euka	simadna_100	2m41.305		
euka	simadna_1000	16m24.124		
HOLI	simadna_01	1m38.666		
HOLI	simadna_1	3m13.493		
HOLI	simadna_10	4m33.186		
HOLI	simadna_100	8m27.021		
HOLI	simadna_1000	31m49.605		
