Marker,Sample Name,Lysate,Library,ReadsRaw,ReadsL35,ReadsMapped,ReadsDeduped,%Hominin,UniqueHominin,DuplicationRate,5CT,3CT,5CT_95CI,3CT_95CI,Ancient,ReadsDeam,H_support,H_support_deam,N-HST_support,N-HST_support_deam,N_support,N_support_deam,HST_support,HST_support_deam,D_support,D_support_deam,S_support,S_support_deam,D-S_support,D-S_support_deam
M275 ,SP.A.7766,Lys.A.1550,Lib.G.802,1389980,887782,276512,31755,3.68,139,2.06,26.9,17.1,11.6-47.8,6.6-33.6,No,18,**100.0% (6 / 6),NA% (0 / 0),**54.5% (6 / 11),66.7% (2 / 3),28.6% (2 / 7),100.0% (1 / 1),0.0% (0 / 17),0.0% (0 / 3),2.4% (1 / 41),0.0% (0 / 4),0.0% (0 / 15),0.0% (0 / 2),0.0% (0 / 18),0.0% (0 / 1)
M275 ,SP.A.7766,Lys.A.1550,Lib.G.802,275724,45225,7342,4812,10.39,16,1.06,0,0,0.0-70.8,0.0-45.9,No,0,50.0% (1 / 2),NA% (0 / 0),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0)
M274 ,SP.A.7765,Lys.A.1549,Lib.G.801,1403023,823666,7667,53,100,34,156.91,0,0,0.0-41.0,0.0-41.0,No,0,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0)
M273 ,SP.A.7764,Lys.A.1548,Lib.G.800,210638,45798,6468,4403,12.7,16,1.31,0,100,0.0-97.5,2.5-100.0,No,3,100.0% (1 / 1),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 5),0.0% (0 / 1),0.0% (0 / 7),0.0% (0 / 2)
M273 ,SP.A.7764,Lys.A.1548,Lib.G.800,1590539,1106003,299008,32951,4.26,159,2.5,26.7,27.8,12.3-45.9,14.2-45.2,Yes,30,**88.9% (8 / 9),100.0% (2 / 2),0.0% (0 / 10),0.0% (0 / 3),10.0% (1 / 10),0.0% (0 / 2),0.0% (0 / 13),0.0% (0 / 1),0.0% (0 / 32),0.0% (0 / 2),0.0% (0 / 28),0.0% (0 / 5),3.0% (1 / 33),14.3% (1 / 7)
M272 ,SP.A.7763,Lys.A.1547,Lib.G.799,233024,42554,6087,4091,41.27,78,1.29,25,16,9.8-46.7,4.5-36.1,No,18,**100.0% (6 / 6),NA% (0 / 0),0.0% (0 / 8),0.0% (0 / 2),10.0% (1 / 10),33.3% (1 / 3),0.0% (0 / 6),0.0% (0 / 1),0.0% (0 / 15),0.0% (0 / 3),0.0% (0 / 9),0.0% (0 / 2),4.3% (1 / 23),0.0% (0 / 5)
M272 ,SP.A.7763,Lys.A.1547,Lib.G.799,1551337,1015595,292009,31019,15.34,599,2.96,36.6,20.4,29.2-44.5,14.5-27.4,Yes,138,**93.6% (44 / 47),**77.8% (7 / 9),6.1% (3 / 49),0.0% (0 / 14),8.9% (4 / 45),0.0% (0 / 6),0.0% (0 / 52),0.0% (0 / 8),0.9% (1 / 110),3.4% (1 / 29),2.7% (2 / 73),0.0% (0 / 12),1.9% (3 / 160),0.0% (0 / 36)
M271 ,SP.A.7762,Lys.A.1546,Lib.G.798,239230,50450,7389,5058,12.64,22,1.05,37.5,0,8.5-75.5,0.0-41.0,No,7,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 2),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 2),14.3% (1 / 7),50.0% (1 / 2)
M271 ,SP.A.7762,Lys.A.1546,Lib.G.798,1749431,1202143,345750,36110,9.77,448,2.09,38.6,21.6,29.1-48.8,14.5-30.1,Yes,97,**100.0% (25 / 25),**100.0% (3 / 3),2.4% (1 / 41),0.0% (0 / 7),7.4% (2 / 27),0.0% (0 / 12),0.0% (0 / 29),0.0% (0 / 7),1.3% (1 / 76),8.3% (1 / 12),2.7% (2 / 73),5.9% (1 / 17),0.9% (1 / 110),0.0% (0 / 26)
M270 ,SP.A.7761,Lys.A.1545,Lib.G.797,221981,46112,6890,4790,13.61,20,1.25,66.7,0,9.4-99.2,0.0-45.9,No,3,**100.0% (5 / 5),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),50.0% (1 / 2),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 6),0.0% (0 / 1),0.0% (0 / 6),0.0% (0 / 1)
M270 ,SP.A.7761,Lys.A.1545,Lib.G.797,1445027,972278,279775,34497,7.21,299,1.88,36.8,16.4,26.1-48.7,8.8-27.0,No,66,**90.3% (28 / 31),**83.3% (5 / 6),4.5% (1 / 22),0.0% (0 / 3),21.4% (3 / 14),50.0% (1 / 2),4.5% (1 / 22),0.0% (0 / 3),0.0% (0 / 62),0.0% (0 / 14),2.6% (1 / 39),10.0% (1 / 10),2.9% (2 / 69),5.6% (1 / 18)
M269 ,SP.A.7760,Lys.A.1544,Lib.G.796,244068,41411,6351,4423,12.4,16,1.25,50,0,6.8-93.2,0.0-70.8,No,2,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 3),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 5),NA% (0 / 0),25.0% (1 / 4),100.0% (1 / 1)
M269 ,SP.A.7760,Lys.A.1544,Lib.G.796,1676434,1068565,340130,36155,8.51,423,1.94,35,24.2,25.8-45.0,16.2-33.9,Yes,95,**100.0% (32 / 32),**100.0% (7 / 7),7.7% (3 / 39),9.1% (1 / 11),0.0% (0 / 25),0.0% (0 / 4),0.0% (0 / 39),0.0% (0 / 10),1.3% (1 / 79),0.0% (0 / 18),0.0% (0 / 41),0.0% (0 / 8),2.4% (2 / 82),6.7% (1 / 15)
M268 ,SP.A.7759,Lys.A.1543,Lib.G.795,134814,28406,4081,3184,25.4,32,1.03,22.2,28.6,2.8-60.0,3.7-71.0,No,7,**100.0% (4 / 4),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 9),0.0% (0 / 2),0.0% (0 / 7),NA% (0 / 0),0.0% (0 / 11),0.0% (0 / 2)
M268 ,SP.A.7759,Lys.A.1543,Lib.G.795,1505127,1028031,288035,34843,12.49,627,1.93,30,21.1,23.4-37.3,15.1-28.1,Yes,135,**100.0% (56 / 56),**100.0% (15 / 15),0.0% (0 / 50),0.0% (0 / 12),0.0% (0 / 41),0.0% (0 / 13),4.3% (2 / 46),8.3% (1 / 12),0.8% (1 / 126),0.0% (0 / 24),0.0% (0 / 76),0.0% (0 / 13),1.4% (2 / 141),0.0% (0 / 23)
M267 ,SP.A.7758,Lys.A.1542,Lib.G.794,98355,20229,3532,2948,17.43,19,1.05,20,20,0.5-71.6,0.5-71.6,No,4,**100.0% (3 / 3),100.0% (1 / 1),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),0.0% (0 / 1),0.0% (0 / 1),NA% (0 / 0),11.1% (1 / 9),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 7),0.0% (0 / 1)
