RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
simadna	499908	499908	499908	107	0.0585	1.0	f	47	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	47	1.0000	47	1.0000	2240	45	2125	1.24	-	0	0	0.0 (0.0,23.2)	0.0 (0.0,30.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.5	N/A	0.14	0.135	0.123	1.092
simadna	499908	499908	499908	325	0.279	1.23	f	190	Proboscidea	Elephantidae	Mammuthus_primigenius	best	190	1.0000	190	1.0000	7439	186	7307	4.94	-	0	0	0.0 (0.0,10.3)	0.0 (0.0,10.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.1	N/A	0.57	0.443	0.4	1.107
simadna	499908	499908	499908	37	0.136	4.95	f	1232	Artiodactyla	Bovidae	Bos_taurus	best	1229	0.9975	1206	1.0190	15302	1163	15029	30.91	-	2	3	0.4 (0.0,2.2)	0.4 (0.0,2.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.7	63.0	3.82	0.936	0.965	0.969
simadna	499908	499908	499908	6492	0.7903	4.46	f	2036	Carnivora	Hyaenidae	Crocuta_crocuta	best	1981	0.9729	1910	1.0371	16067	1790	15416	47.58	-	6	20	0.9 (0.2,2.5)	0.8 (0.2,2.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	51.6	51.7	5.76	0.937	0.993	0.943
simadna	499908	499908	499908	779	0.6524	1.87	f	608	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	607	0.9983	600	1.0116	13654	576	13237	15.31	-	2	6	0.0 (0.0,3.0)	1.9 (0.2,6.7)	N/A (N/A,N/A)	N/A (N/A,N/A)	52.4	55.8	1.9	0.828	0.813	1.018
simadna_01	499903	499903	499903	16	0.05882	1.0	f	128	Artiodactyla	Bovidae	Bos_taurus	best	124	0.9687	123	1.0081	5101	117	4835	30.15	-	0	0	0.0 (0.0,17.6)	0.0 (0.0,12.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.1	N/A	0.37	0.312	0.283	1.1
simadna_01	499903	499903	499903	20	0.01717	1.0	f	21	Proboscidea	Elephantidae	Mammuthus_primigenius	best	19	0.9047	19	1.0000	888	19	888	4.89	-	0	0	0.0 (0.0,52.2)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.6	N/A	0.05	0.052	0.046	1.139
simadna_01	499903	499903	499903	2278	0.2773	1.23	f	217	Carnivora	Hyaenidae	Crocuta_crocuta	best	208	0.9585	206	1.0097	7615	192	7056	49.48	-	0	1	0.0 (0.0,10.3)	0.0 (0.0,8.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.5	58.0	0.6	0.444	0.413	1.074
simadna_01	499903	499903	499903	93	0.07789	1.0	f	64	Artiodactyla	Suidae	Sus_scrofa_taivanus	best	64	1.0000	64	1.0000	2813	60	2634	15.46	-	0	0	0.0 (0.0,26.5)	0.0 (0.0,23.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	50.2	N/A	0.19	0.17	0.157	1.081
simadna_10	499896	499896	499896	37	0.136	29.8	f	12505	Artiodactyla	Bovidae	Bos_taurus	best	12497	0.9993	10180	1.2276	16044	9801	15859	31.95	-	8	24	0.1 (0.0,0.4)	0.3 (0.1,0.7)	N/A (N/A,N/A)	0.0 (0.0,97.5)	52.9	56.0	33.04	0.982	0.999	0.982
simadna_10	499896	499896	499896	6575	0.8004	44.0	f	20382	Carnivora	Hyaenidae	Crocuta_crocuta	best	19653	0.9642	14207	1.3833	16598	13286	16019	43.32	-	57	134	0.9 (0.6,1.4)	1.1 (0.8,1.6)	0.0 (0.0,33.6)	0.0 (0.0,41.0)	53.9	54.3	44.86	0.968	1.0	0.968
simadna_10	499896	499896	499896	724	0.3958	1.38	f	457	Primates	Hominidae	Homo_sapiens_neanderthalensis	best	457	1.0000	454	1.0066	12377	436	11891	1.42	-	0	2	0.0 (0.0,3.5)	0.0 (0.0,3.6)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.9	37.5	1.36	0.747	0.701	1.065
