DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N_support	N_support_deam	N-HST_support	N-HST_support_deam	HST_support	HST_support_deam	D_support	D_support_deam	D-S_support	D-S_support_deam	S_support	S_support_deam	H_der	H_deam_der	N_der	N_deam_der	N-HST_der	N-HST_deam_der	HST_der	HST_deam_der	D_der	D_deam_der	D-S_der	D-S_deam_der	S_der	S_deam_der	
1	passed			150826	A2420	R3209	Lib.E.4304	Cap.G.9962	401	61	SP1736	E3092	sediment	screening	AA22	Vindija Cave, Croatia	Vindija soil layer G3	0	0	1475878	1418056	267454	84.1	260825	97.5	538	484.80	6.9	3.1	2.6-14.4	0.4-10.8	N/A-N/A	0.0-97.5	-	14	^^^100.0% (37 / 37)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 24)	NA% (0 / 0)	0.0% (0 / 40)	0.0% (0 / 1)	0.0% (0 / 90)	0.0% (0 / 1)	0.0% (0 / 106)	0.0% (0 / 1)	1.1% (1 / 94)	0.0% (0 / 7)	(2056:1)(2523:1)(2831:1)(4940:6)(5580:2)(5821:3)(5840:2)(6266:2)(8021:1)(8065:2)(8461:1)(10324:2)(11770:1)(12474:1)(13095:3)(13359:1)(13656:6)(15148:1)												(14384:1)		
4	passed			150826	A2423	R3212	Lib.E.4307	Cap.G.9965	404	64	SP2920	E3095	sediment	screening	AA22	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallery, Layer 11.2	0	0	1557876	1542938	29708	3.0	27580	92.8	481	57.34	46.2	61.8	37.4-55.1	50.9-71.9	19.8-70.1	19.8-70.1	++	150	4.3% (1 / 23)	0.0% (0 / 10)	^^100.0% (3 / 3)	NA% (0 / 0)	^^^75.0% (15 / 20)	^^^83.3% (5 / 6)	4.2% (1 / 24)	14.3% (1 / 7)	1.6% (1 / 62)	4.2% (1 / 24)	1.5% (1 / 65)	5.0% (1 / 20)	0.0% (0 / 59)	0.0% (0 / 16)	(11770:1)		(438:2)(8986:1)		(547:1)(3399:1)(4532:2)(5673:1)(10532:1)(11458:3)(15479:2)(15671:1)(16037:3)	(4532:1)(11458:1)(15479:1)(15671:1)(16037:1)	(11186:1)	(11186:1)	(15403:1)	(15403:1)	(7316:1)	(7316:1)			
5	passed			150826	A2424	R3213	Lib.E.4308	Cap.G.9966	405	65	SP2921	E3096	sediment	screening	AA22	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallery, Layer 11.4	0.7	0.000063	1154550	1138512	10160	1.4	8618	84.8	137	62.91	42.9	58.8	26.3-60.6	32.9-81.6	0.8-90.6	1.3-98.7	++	39	0.0% (0 / 5)	0.0% (0 / 2)	^^^100.0% (6 / 6)	NA% (0 / 0)	^^^100.0% (6 / 6)	100.0% (1 / 1)	0.0% (0 / 7)	0.0% (0 / 2)	0.0% (0 / 20)	0.0% (0 / 5)	0.0% (0 / 26)	0.0% (0 / 9)	0.0% (0 / 12)	0.0% (0 / 6)			(438:1)(6200:1)(7127:1)(8986:2)(11950:1)		(417:2)(7106:1)(11458:1)(13801:1)(15671:1)	(13801:1)									
6	passed			150826	A2425	R3214	Lib.E.4309	Cap.G.9967	406	66	SP2922	E3097	sediment	screening	AA22	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallery, Layer 12	6.8	0.000407	1660729	1638109	96083	9.2	77388	80.5	215	359.94	4.4	40.0	0.5-15.1	19.1-63.9	0.0-70.8	N/A-N/A	+	18	^^^93.8% (15 / 16)	100.0% (1 / 1)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 4)	NA% (0 / 0)	0.0% (0 / 11)	NA% (0 / 0)	0.0% (0 / 16)	0.0% (0 / 1)	6.5% (2 / 31)	50.0% (1 / 2)	0.0% (0 / 38)	0.0% (0 / 2)	(2056:2)(2523:1)(5580:1)(8065:2)(8461:1)(11770:4)(12474:1)(15355:2)(15443:1)	(11770:1)									(4456:1)(9899:1)	(9899:1)			
11	passed			150826	A2430	R3218	Lib.E.4314	Cap.G.9970	411	71			control	screening	AA22		lib neg control	0	0	103769	76371	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	-	0	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
23	passed			150827	A2420	R3231	Lib.E.4304	Cap.G.9982	401	61	SP1736	E3092	sediment	screening	AA75	Vindija Cave, Croatia	Vindija soil layer G3	159.8	0.009116	1752834	1700162	51158	14.3	46883	91.6	339	138.30	5.8	10.5	1.6-14.2	2.9-24.8	0.0-97.5	N/A-N/A	-	13	^^^96.2% (25 / 26)	100.0% (1 / 1)	0.0% (0 / 7)	NA% (0 / 0)	0.0% (0 / 15)	NA% (0 / 0)	0.0% (0 / 20)	NA% (0 / 0)	0.0% (0 / 54)	0.0% (0 / 2)	0.0% (0 / 77)	0.0% (0 / 2)	0.0% (0 / 53)	0.0% (0 / 2)	(2056:1)(2523:4)(4940:2)(5580:1)(5821:1)(5840:1)(6266:1)(8021:1)(8065:2)(8461:1)(10324:1)(11770:1)(12474:1)(13095:3)(13359:1)(13656:2)(15148:1)	(2523:1)													
26	passed			150827	A2423	R3234	Lib.E.4307	Cap.G.9985	404	64	SP2920	E3095	sediment	screening	AA75	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallary, Layer 11.2	20.8	0.001551	1339679	1325689	781	0.2	487	62.4	161	3.02	40.0	57.1	26.4-54.8	37.2-75.5	0.6-80.6	0.6-80.6	++	49	0.0% (0 / 7)	0.0% (0 / 4)	^^100.0% (2 / 2)	NA% (0 / 0)	^^^66.7% (4 / 6)	100.0% (1 / 1)	0.0% (0 / 10)	0.0% (0 / 2)	0.0% (0 / 20)	0.0% (0 / 8)	4.0% (1 / 25)	0.0% (0 / 10)	0.0% (0 / 22)	0.0% (0 / 6)			(438:1)(8986:1)		(11458:1)(15671:2)(16037:1)	(15671:1)					(8140:1)				
27	passed			150827	A2424	R3235	Lib.E.4308	Cap.G.9986	405	65	SP2921	E3096	sediment	screening	AA75	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallary, Layer 11.4	3.7	0.000191	1954714	1924011	808	0.1	367	45.4	74	4.96	44.4	75.0	21.5-69.2	34.9-96.8	0.0-84.2	N/A-N/A	++	22	0.0% (0 / 2)	NA% (0 / 0)	^^100.0% (3 / 3)	NA% (0 / 0)	^^^100.0% (4 / 4)	100.0% (1 / 1)	0.0% (0 / 7)	0.0% (0 / 2)	0.0% (0 / 10)	0.0% (0 / 4)	0.0% (0 / 12)	0.0% (0 / 6)	0.0% (0 / 8)	0.0% (0 / 4)			(8986:2)(11950:1)		(417:1)(11458:1)(13801:1)(15671:1)	(13801:1)									
28	passed			150827	A2425	R3236	Lib.E.4309	Cap.G.9987	406	66	SP2922	E3097	sediment	screening	AA75	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallary, Layer 12	427.5	0.034402	1242750	1225085	4390	16.6	3835	87.4	1427	2.69	2.2	3.1	0.9-4.5	1.0-7.1	N/A-N/A	N/A-N/A	-	21	^^^98.1% (152 / 155)	^^100.0% (2 / 2)	0.0% (0 / 37)	0.0% (0 / 1)	0.0% (0 / 56)	0.0% (0 / 1)	0.0% (0 / 123)	NA% (0 / 0)	0.0% (0 / 223)	0.0% (0 / 2)	1.0% (3 / 300)	0.0% (0 / 4)	0.5% (1 / 211)	0.0% (0 / 1)	(2056:2)(2523:56)(2831:6)(4940:3)(5580:8)(5821:2)(5840:2)(6266:3)(7868:4)(7891:2)(8021:6)(8065:6)(8461:1)(9325:6)(10324:1)(11770:6)(12474:3)(13095:12)(13359:6)(13656:2)(15148:7)(15355:6)(15443:2)	(2523:2)									(4456:1)(6512:2)		(4380:1)		
33	passed			150827	A2430	R3240	Lib.E.4314	Cap.G.9990	411	71			control	screening	AA75		lib neg control	1.9	0.002253	82161	59005	4013	100.0	3909	97.4	26	150.35	0.0	0.0	0.0-70.8	0.0-84.2	N/A-N/A	N/A-N/A	-	0	^^100.0% (2 / 2)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	(13095:1)(15443:1)														
35	passed	ENC has more than 6000 human reads - mix up in the lab?		150827	A2446	R3242	Lib.E.4391	Cap.G.9992	491	80	SP3611	E3149	stone tool	screening	AA75	Denisova Cave, Russia	Denisova,layer 11.3 flake	32.4	0.003719	870199	840030	195917	87.6	190196	97.1	41537	4.58	0.8	1.4	0.6-1.0	1.1-1.7	0.0-17.6	0.0-21.8	-	338	^^^97.3% (4608 / 4738)	^^^90.5% (19 / 21)	0.1% (1 / 1616)	0.0% (0 / 15)	0.2% (4 / 2450)	0.0% (0 / 15)	0.2% (6 / 3532)	0.0% (0 / 25)	0.1% (7 / 7558)	0.0% (0 / 46)	0.6% (51 / 8784)	6.8% (5 / 73)	0.5% (34 / 6791)	2.4% (1 / 41)	(2056:158)(2523:632)(2831:191)(4940:146)(5580:184)(5821:213)(5840:235)(6266:164)(7868:182)(7891:180)(8021:183)(8065:181)(8461:24)(8503:49)(9325:180)(10324:113)(11770:272)(12474:195)(13095:230)(13359:241)(13656:129)(13889:82)(15148:203)(15355:157)(15443:84)	(2523:5)(4940:1)(6266:1)(8065:1)(8503:1)(9325:2)(11770:4)(13359:1)(13656:1)(15355:1)(15443:1)	(3808:1)		(547:2)(4532:2)		(11074:1)(13563:4)(14133:1)		(596:1)(8008:1)(13635:4)(15403:1)		(868:2)(1405:6)(4456:3)(4914:2)(4958:3)(6512:2)(6938:6)(7232:5)(8140:4)(8545:1)(9254:2)(9434:3)(9527:3)(9530:3)(9899:1)(14950:5)	(1405:1)(4958:1)(6938:1)(7232:1)(8140:1)	(3338:1)(4733:1)(5601:2)(6614:1)(11253:28)(14218:1)	(11253:1)	
