DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N-HST_support	N-HST_support_deam	N_support	N_support_deam	HST_support	HST_support_deam	D-S_support	D-S_support_deam	D_support	D_support_deam	S_support	S_support_deam	H_der	H_deam_der	N-HST_der	N-HST_deam_der	N_der	N_deam_der	HST_der	HST_deam_der	D-S_der	D-S_deam_der	D_der	D_deam_der	S_der	S_deam_der	
1	passed			150826	A2420	R3209	Lib.E.4304	Cap.G.9962	401	61	SP1736	E3092	sediment	screening	AA22	Vindija Cave, Croatia	Vindija soil layer G3	0	0	1475878	1418056	267454	84.1	260825	97.5	538	484.80	6.9	3.1	2.6-14.4	0.4-10.8	N/A-N/A	0.0-97.5	-	14	^^^100.0% (70 / 70)	NA% (0 / 0)	1.1% (1 / 89)	100.0% (1 / 1)	0.0% (0 / 37)	0.0% (0 / 1)	0.0% (0 / 50)	0.0% (0 / 1)	1.6% (3 / 190)	0.0% (0 / 2)	0.0% (0 / 226)	0.0% (0 / 3)	2.4% (3 / 124)	0.0% (0 / 5)	(2056:1)(2523:1)(2831:1)(4904:5)(4940:6)(5387:6)(5580:2)(5821:3)(5840:2)(6266:2)(6452:4)(6641:3)(8021:1)(8065:2)(8461:1)(9869:3)(10307:6)(10324:2)(10750:1)(11590:6)(12474:1)(13095:3)(13359:1)(13656:6)(15148:1)		(6156:1)	(6156:1)					(8677:2)(12064:1)				(3447:1)(7094:1)(14384:1)		
4	passed			150826	A2423	R3212	Lib.E.4307	Cap.G.9965	404	64	SP2920	E3095	sediment	screening	AA22	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallery, Layer 11.2	0	0	1557876	1542938	29708	3.0	27580	92.8	481	57.34	46.2	61.8	37.4-55.1	50.9-71.9	19.8-70.1	19.8-70.1	++	150	4.2% (1 / 24)	0.0% (0 / 8)	^^^80.0% (24 / 30)	^^^88.9% (8 / 9)	^^^100.0% (8 / 8)	^^100.0% (2 / 2)	0.0% (0 / 30)	0.0% (0 / 7)	1.5% (2 / 131)	5.1% (2 / 39)	1.0% (1 / 100)	2.9% (1 / 35)	0.0% (0 / 73)	0.0% (0 / 21)	(15667:1)		(547:1)(3399:1)(3414:1)(4532:2)(5673:1)(6260:1)(8764:1)(10373:2)(10532:1)(11458:3)(11527:2)(12070:1)(13707:1)(15479:2)(15671:1)(16037:3)	(4532:1)(6260:1)(11458:1)(11527:2)(15479:1)(15671:1)(16037:1)	(438:2)(1406:1)(7746:1)(8986:1)(10256:3)	(1406:1)(10256:1)			(7316:1)(8203:1)	(7316:1)(8203:1)	(15403:1)	(15403:1)			
5	passed			150826	A2424	R3213	Lib.E.4308	Cap.G.9966	405	65	SP2921	E3096	sediment	screening	AA22	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallery, Layer 11.4	0.7	0.000063	1154550	1138512	10160	1.4	8618	84.8	137	62.91	42.9	58.8	26.3-60.6	32.9-81.6	0.8-90.6	1.3-98.7	++	39	0.0% (0 / 8)	0.0% (0 / 3)	^^^69.2% (9 / 13)	100.0% (1 / 1)	^^^87.5% (7 / 8)	0.0% (0 / 1)	0.0% (0 / 11)	0.0% (0 / 4)	0.0% (0 / 42)	0.0% (0 / 12)	0.0% (0 / 41)	0.0% (0 / 9)	0.0% (0 / 12)	0.0% (0 / 6)			(417:2)(6156:1)(7106:1)(11458:1)(12070:1)(13801:1)(15226:1)(15671:1)	(13801:1)	(438:1)(6200:1)(7127:1)(8986:2)(11950:1)(15232:1)										
6	passed			150826	A2425	R3214	Lib.E.4309	Cap.G.9967	406	66	SP2922	E3097	sediment	screening	AA22	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallery, Layer 12	6.8	0.000407	1660729	1638109	96083	9.2	77388	80.5	215	359.94	4.4	40.0	0.5-15.1	19.1-63.9	0.0-70.8	N/A-N/A	+	18	^^^91.7% (11 / 12)	NA% (0 / 0)	0.0% (0 / 14)	0.0% (0 / 2)	0.0% (0 / 9)	0.0% (0 / 1)	0.0% (0 / 17)	0.0% (0 / 1)	3.4% (2 / 59)	50.0% (1 / 2)	0.0% (0 / 38)	0.0% (0 / 6)	0.0% (0 / 40)	0.0% (0 / 2)	(2056:2)(2523:1)(5580:1)(8065:2)(8461:1)(12474:1)(15355:2)(15443:1)								(4456:1)(9899:1)	(9899:1)					
11	passed			150826	A2430	R3218	Lib.E.4314	Cap.G.9970	411	71			control	screening	AA22		lib neg control	0	0	103769	76371	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	-	0	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)															
23	passed			150827	A2420	R3231	Lib.E.4304	Cap.G.9982	401	61	SP1736	E3092	sediment	screening	AA75	Vindija Cave, Croatia	Vindija soil layer G3	159.8	0.009116	1752834	1700162	51158	14.3	46883	91.6	339	138.30	5.8	10.5	1.6-14.2	2.9-24.8	0.0-97.5	N/A-N/A	-	13	^^^97.7% (43 / 44)	^^100.0% (2 / 2)	0.0% (0 / 37)	NA% (0 / 0)	0.0% (0 / 23)	0.0% (0 / 1)	0.0% (0 / 26)	NA% (0 / 0)	0.8% (1 / 121)	0.0% (0 / 2)	0.0% (0 / 108)	0.0% (0 / 2)	1.7% (1 / 60)	0.0% (0 / 1)	(2056:1)(2523:4)(4904:2)(4940:2)(5387:4)(5580:1)(5821:1)(5840:1)(6266:1)(6452:2)(6641:2)(8021:1)(8065:2)(8461:1)(9869:2)(10307:4)(10324:1)(10750:1)(11590:2)(12474:1)(13095:3)(13359:1)(13656:2)(15148:1)	(2523:1)(5387:1)							(12064:1)				(3447:1)		
26	passed			150827	A2423	R3234	Lib.E.4307	Cap.G.9985	404	64	SP2920	E3095	sediment	screening	AA75	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallary, Layer 11.2	20.8	0.001551	1339679	1325689	781	0.2	487	62.4	161	3.02	40.0	57.1	26.4-54.8	37.2-75.5	0.6-80.6	0.6-80.6	++	49	14.3% (1 / 7)	0.0% (0 / 2)	^^^71.4% (5 / 7)	^^100.0% (2 / 2)	^^^100.0% (3 / 3)	100.0% (1 / 1)	0.0% (0 / 12)	0.0% (0 / 3)	9.8% (4 / 41)	0.0% (0 / 15)	0.0% (0 / 34)	0.0% (0 / 10)	0.0% (0 / 26)	0.0% (0 / 8)	(15667:1)		(11458:1)(11527:1)(15671:2)(16037:1)	(11527:1)(15671:1)	(438:1)(1406:1)(8986:1)	(1406:1)			(8140:1)(8152:1)(8203:1)(9060:1)						
27	passed			150827	A2424	R3235	Lib.E.4308	Cap.G.9986	405	65	SP2921	E3096	sediment	screening	AA75	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallary, Layer 11.4	3.7	0.000191	1954714	1924011	808	0.1	367	45.4	74	4.96	44.4	75.0	21.5-69.2	34.9-96.8	0.0-84.2	N/A-N/A	++	22	0.0% (0 / 5)	0.0% (0 / 1)	^^^71.4% (5 / 7)	100.0% (1 / 1)	^^^80.0% (4 / 5)	0.0% (0 / 1)	0.0% (0 / 9)	0.0% (0 / 3)	0.0% (0 / 19)	0.0% (0 / 9)	0.0% (0 / 22)	0.0% (0 / 6)	0.0% (0 / 8)	0.0% (0 / 4)			(417:1)(11458:1)(13801:1)(15226:1)(15671:1)	(13801:1)	(8986:2)(11950:1)(15232:1)										
28	passed			150827	A2425	R3236	Lib.E.4309	Cap.G.9987	406	66	SP2922	E3097	sediment	screening	AA75	Denisova Cave, Russia	Soil Sample Denisova Cave, East Gallary, Layer 12	427.5	0.034402	1242750	1225085	4390	16.6	3835	87.4	1427	2.69	2.2	3.1	0.9-4.5	1.0-7.1	N/A-N/A	N/A-N/A	-	21	^^^97.3% (182 / 187)	^^100.0% (2 / 2)	0.0% (0 / 103)	0.0% (0 / 2)	0.0% (0 / 86)	0.0% (0 / 2)	0.0% (0 / 182)	0.0% (0 / 1)	1.2% (6 / 513)	0.0% (0 / 4)	1.1% (4 / 349)	0.0% (0 / 3)	0.9% (2 / 235)	0.0% (0 / 1)	(2056:2)(2523:56)(2831:6)(4904:2)(4940:3)(5580:8)(5821:2)(5840:2)(6266:3)(6452:9)(7868:4)(7891:2)(8021:6)(8065:6)(8461:1)(9325:6)(9869:5)(10307:1)(10324:1)(10750:2)(11590:8)(12474:3)(13095:12)(13359:6)(13656:2)(15148:7)(15355:6)(15443:2)(15649:5)(15667:4)	(2523:2)							(750:1)(4456:1)(6483:1)(6512:2)(11016:1)		(3357:1)(6917:2)(9566:1)		(4380:1)(11002:1)		
33	passed			150827	A2430	R3240	Lib.E.4314	Cap.G.9990	411	71			control	screening	AA75		lib neg control	1.9	0.002253	82161	59005	4013	100.0	3909	97.4	26	150.35	0.0	0.0	0.0-70.8	0.0-84.2	N/A-N/A	N/A-N/A	-	0	^^100.0% (2 / 2)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 14)	NA% (0 / 0)	0.0% (0 / 2)	NA% (0 / 0)	(13095:1)(15443:1)														
