IndexLibID,SampleID,Ancient,H_support_deam,Deaminated(term3),variable,value,Site,support,sizes,sig,Significance,h_sizes,h_sig,h_Significance,h_support,Fragments,Support,Group
D5210,SP3848,++,20.0% (1 / 5),102,Neanderthal,^^^41.7% (10 / 24),"Chagyrskaya Cave, Russia",41,10,^^^,^^^,1,-,-,20,10,41,Neanderthal
L5606,SP3848,++,0.0% (0 / 2),51,Neanderthal,^^^75.0% (3 / 4),"Chagyrskaya Cave, Russia",75,3,^^^,^^^,0,-,-,0,3,75,Neanderthal
D5234,SP3848,++,0.0% (0 / 3),89,Neanderthal,^^^68.4% (13 / 19),"Chagyrskaya Cave, Russia",68,13,^^^,^^^,0,-,-,0,13,68,Neanderthal
D5233,SP3848,++,0.0% (0 / 33),742,Neanderthal,^^^95.3% (81 / 85),"Chagyrskaya Cave, Russia",95,81,^^^,^^^,0,-,-,0,81,95,Neanderthal
D5211,SP3848,++,0.0% (0 / 2),114,Neanderthal,^^^63.2% (12 / 19),"Chagyrskaya Cave, Russia",63,12,^^^,^^^,0,-,-,0,12,63,Neanderthal
D5212,SP3848,++,0.0% (0 / 5),105,Neanderthal,^^^81.2% (13 / 16),"Chagyrskaya Cave, Russia",81,13,^^^,^^^,0,-,-,0,13,81,Neanderthal
D5213,SP3848,++,0.0% (0 / 4),88,Neanderthal,^^^76.9% (10 / 13),"Chagyrskaya Cave, Russia",76,10,^^^,^^^,0,-,-,0,10,76,Neanderthal
D5233,SP3848,++,0.0% (0 / 33),742,Neanderthal,^^^93.6% (44 / 47),"Chagyrskaya Cave, Russia",93,44,^^^,^^^,0,-,-,0,44,93,Neanderthal
D5208,SP3848,++,0.0% (0 / 3),109,Neanderthal,^^^66.7% (8 / 12),"Chagyrskaya Cave, Russia",66,8,^^^,^^^,0,-,-,0,8,66,Neanderthal
D5208,SP3848,++,0.0% (0 / 3),109,Neanderthal,^^^75.0% (9 / 12),"Chagyrskaya Cave, Russia",75,9,^^^,^^^,0,-,-,0,9,75,Neanderthal
D5210,SP3848,++,20.0% (1 / 5),102,Neanderthal,^^^50.0% (6 / 12),"Chagyrskaya Cave, Russia",50,6,^^^,^^^,1,-,-,20,6,50,Neanderthal
D5212,SP3848,++,0.0% (0 / 5),105,Neanderthal,^^^62.5% (5 / 8),"Chagyrskaya Cave, Russia",62,5,^^^,^^^,0,-,-,0,5,62,Neanderthal
D5236,SP3848,++,NA% (0 / 0),69,Neanderthal,^^^30.4% (7 / 23),"Chagyrskaya Cave, Russia",30,7,^^^,^^^,0,-,-,0,7,30,Neanderthal
D5235,SP3848,++,25.0% (1 / 4),87,Neanderthal,^^^71.4% (5 / 7),"Chagyrskaya Cave, Russia",71,5,^^^,^^^,1,-,-,25,5,71,Neanderthal
D5231,SP3848,++,0.0% (0 / 4),72,Neanderthal,^^^62.5% (5 / 8),"Chagyrskaya Cave, Russia",62,5,^^^,^^^,0,-,-,0,5,62,Neanderthal
D5232,SP3848,++,0.0% (0 / 5),84,Neanderthal,^^^53.8% (7 / 13),"Chagyrskaya Cave, Russia",53,7,^^^,^^^,0,-,-,0,7,53,Neanderthal
D5232,SP3848,++,0.0% (0 / 5),84,Neanderthal,^^^70.0% (7 / 10),"Chagyrskaya Cave, Russia",70,7,^^^,^^^,0,-,-,0,7,70,Neanderthal
R8506,SP3828,++,NA% (0 / 0),44,Neanderthal,^^^83.3% (10 / 12),"Denisova Cave, Russia",83,10,^^^,^^^,0,-,-,0,10,83,Neanderthal
D5281,SP3854,++,0.0% (0 / 6),59,Denisova,^^^39.3% (11 / 28),"Denisova Cave, Russia",39,11,^^^,^^^,0,-,-,0,11,39,Denisova
R5603,SP3876,++,0.0% (0 / 4),52,Neanderthal,^^^57.1% (12 / 21),"Denisova Cave, Russia",57,12,^^^,^^^,0,-,-,0,12,57,Neanderthal
R5601,SP3874,++,0.0% (0 / 1),80,Neanderthal,^^^81.2% (13 / 16),"Denisova Cave, Russia",81,13,^^^,^^^,0,-,-,0,13,81,Neanderthal
A2424,SP2921,++,0.0% (0 / 1),22,Neanderthal,^^^71.4% (5 / 7),"Denisova Cave, Russia",71,5,^^^,^^^,0,-,-,0,5,71,Neanderthal
D5282,SP3854,++,0.0% (0 / 1),21,Denisova,^^^30.4% (7 / 23),"Denisova Cave, Russia",30,7,^^^,^^^,0,-,-,0,7,30,Denisova
A2424,SP2921,++,0.0% (0 / 3),39,Neanderthal,^^^69.2% (9 / 13),"Denisova Cave, Russia",69,9,^^^,^^^,0,-,-,0,9,69,Neanderthal
A2423,SP2920,++,0.0% (0 / 8),150,Neanderthal,^^^80.0% (24 / 30),"Denisova Cave, Russia",80,24,^^^,^^^,0,-,-,0,24,80,Neanderthal
D5203,SP3876,++,0.0% (0 / 16),240,Neanderthal,^^^58.8% (47 / 80),"Denisova Cave, Russia",58,47,^^^,^^^,0,-,-,0,47,58,Neanderthal
L5762,SP3833,++,20.0% (2 / 10),99,Neanderthal,^^^82.8% (24 / 29),"Denisova Cave, Russia",82,24,^^^,^^^,2,-,-,20,24,82,Neanderthal
R9946,SP3833,++,5.0% (1 / 20),263,Neanderthal,^^^88.0% (44 / 50),"Denisova Cave, Russia",88,44,^^^,^^^,1,-,-,5,44,88,Neanderthal
A2423,SP2920,++,0.0% (0 / 2),49,Neanderthal,^^^71.4% (5 / 7),"Denisova Cave, Russia",71,5,^^^,^^^,0,-,-,0,5,71,Neanderthal
R9947,SP3834,++,0.0% (0 / 14),310,Neanderthal,^^^67.0% (73 / 109),"Denisova Cave, Russia",67,73,^^^,^^^,0,-,-,0,73,67,Neanderthal
D5215,SP3833,++,7.1% (1 / 14),217,Neanderthal,^^^83.9% (26 / 31),"Denisova Cave, Russia",83,26,^^^,^^^,1,-,-,7,26,83,Neanderthal
D5202,SP3876,++,0.0% (0 / 24),269,Neanderthal,^^^60.5% (46 / 76),"Denisova Cave, Russia",60,46,^^^,^^^,0,-,-,0,46,60,Neanderthal
D5204,SP3876,++,20.0% (2 / 10),120,Neanderthal,^^^55.4% (31 / 56),"Denisova Cave, Russia",55,31,^^^,^^^,2,-,-,20,31,55,Neanderthal
D5228,SP3834,++,4.3% (1 / 23),377,Neanderthal,^^^96.2% (76 / 79),"Denisova Cave, Russia",96,76,^^^,^^^,1,-,-,4,76,96,Neanderthal
D5205,SP3876,++,0.0% (0 / 8),135,Neanderthal,^^^55.8% (24 / 43),"Denisova Cave, Russia",55,24,^^^,^^^,0,-,-,0,24,55,Neanderthal
D5206,SP3876,++,0.0% (0 / 10),244,Neanderthal,^^^55.1% (49 / 89),"Denisova Cave, Russia",55,49,^^^,^^^,0,-,-,0,49,55,Neanderthal
D5207,SP3876,++,0.0% (0 / 13),147,Neanderthal,^^^52.4% (33 / 63),"Denisova Cave, Russia",52,33,^^^,^^^,0,-,-,0,33,52,Neanderthal
D5229,SP3834,++,3.8% (1 / 26),465,Neanderthal,^^^97.9% (93 / 95),"Denisova Cave, Russia",97,93,^^^,^^^,1,-,-,3,93,97,Neanderthal
D5216,SP3833,++,0.0% (0 / 12),165,Neanderthal,^^^88.2% (30 / 34),"Denisova Cave, Russia",88,30,^^^,^^^,0,-,-,0,30,88,Neanderthal
D5217,SP3833,++,0.0% (0 / 14),217,Neanderthal,^^^90.2% (37 / 41),"Denisova Cave, Russia",90,37,^^^,^^^,0,-,-,0,37,90,Neanderthal
D5218,SP3833,++,0.0% (0 / 11),201,Neanderthal,^^^93.9% (31 / 33),"Denisova Cave, Russia",93,31,^^^,^^^,0,-,-,0,31,93,Neanderthal
D5219,SP3833,++,0.0% (0 / 13),219,Neanderthal,^^^88.6% (39 / 44),"Denisova Cave, Russia",88,39,^^^,^^^,0,-,-,0,39,88,Neanderthal
D5222,SP3834,++,^25.0% (6 / 24),412,Neanderthal,^^^94.0% (78 / 83),"Denisova Cave, Russia",94,78,^^^,^^^,6,^,^,25,78,94,Neanderthal
D5201,SP3876,++,0.0% (0 / 18),234,Neanderthal,^^^55.3% (57 / 103),"Denisova Cave, Russia",55,57,^^^,^^^,0,-,-,0,57,55,Neanderthal
D5237,SP3834,++,0.0% (0 / 38),651,Neanderthal,^^^94.7% (143 / 151),"Denisova Cave, Russia",94,143,^^^,^^^,0,-,-,0,143,94,Neanderthal
D5279,SP3854,++,0.0% (0 / 2),51,Denisova,^^^43.5% (10 / 23),"Denisova Cave, Russia",43,10,^^^,^^^,0,-,-,0,10,43,Denisova
R5723,SP3854,++,NA% (0 / 0),22,Denisova-Sima,^^^20.0% (11 / 55),"Denisova Cave, Russia",20,11,^^^,^^^,0,-,-,0,11,20,Denisova-Sima
L5762,SP3833,++,20.0% (2 / 10),99,Neanderthal,^^^56.2% (9 / 16),"Denisova Cave, Russia",56,9,^^^,^^^,2,-,-,20,9,56,Neanderthal
D5243,SP3876,++,0.0% (0 / 11),218,Neanderthal,^^^61.3% (38 / 62),"Denisova Cave, Russia",61,38,^^^,^^^,0,-,-,0,38,61,Neanderthal
D5264,SP3860,++,6.1% (2 / 33),417,Neanderthal,^^^86.2% (75 / 87),"Denisova Cave, Russia",86,75,^^^,^^^,2,-,-,6,75,86,Neanderthal
D5263,SP3860,++,9.1% (1 / 11),81,Neanderthal,^^^90.0% (18 / 20),"Denisova Cave, Russia",90,18,^^^,^^^,1,-,-,9,18,90,Neanderthal
D5262,SP3860,++,0.0% (0 / 8),143,Neanderthal,^^^94.4% (17 / 18),"Denisova Cave, Russia",94,17,^^^,^^^,0,-,-,0,17,94,Neanderthal
D5261,SP3860,++,0.0% (0 / 25),336,Neanderthal,^^^85.5% (65 / 76),"Denisova Cave, Russia",85,65,^^^,^^^,0,-,-,0,65,85,Neanderthal
D5245,SP3876,++,0.0% (0 / 12),138,Neanderthal,^^^60.9% (28 / 46),"Denisova Cave, Russia",60,28,^^^,^^^,0,-,-,0,28,60,Neanderthal
