RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	FamilyKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	RunID	MeanFragmentLength	breadth	coverage	expected_breadth	expected_breadth_prop
Cap.E.7136	2600505	2553625	1328878	130	0.0001371	92.4	f	2518	Rodentia	Muridae	Rattus_norvegicus	best	705	0.2799	31	22.7419	417	31	417	3.23	+	7	10	55.6 (21.2,86.3)	25.0 (3.2,65.1)	N/A (N/A,N/A)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.025167481441245698	0.0748385539260064	0.0639463100731471	0.39357206713658754
Cap.E.7136	2600505	2553625	1328878	143	0.0005426	88.8	f	1962	Carnivora	Mustelidae	Gulo_gulo	best	1244	0.634	11	113.0909	284	11	284	1.14	-	2	4	100.0 (15.8,100.0)	0.0 (0.0,84.2)	N/A (N/A,N/A)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.017140442995956302	0.026555615909228076	0.023175826501329433	0.7395828146613488
Cap.E.7136	2600505	2553625	1328878	168	0.0002877	46.5	f	2539	Artiodactyla	Bovidae	Bos_taurus	best	1613	0.6352	32	50.4062	683	29	576	3.02	+	4	14	44.4 (13.7,78.8)	50.0 (1.3,98.7)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	190312_D00829_0232.lane2	40	0.04122155833182449	0.07725270082684531	0.0659395627124364	0.6251415180229878
Cap.E.7136	2600505	2553625	1328878	175	0.003788	148.0	f	4310	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	3555	0.8248	52	68.3653	878	52	878	5.42	++	11	21	37.5 (15.2,64.6)	27.8 (9.7,53.5)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	190312_D00829_0232.lane2	40	0.05299052447341421	0.12553563884362365	0.10492518238349713	0.5050315212199115
Cap.E.7136	2600505	2553625	1328878	183	0.0003271	16.0	f	1849	Rodentia	Sciuridae	Dremomys_rufigenis	best	679	0.3672	29	23.4137	443	28	402	2.92	+	7	14	33.3 (4.3,77.7)	62.5 (24.5,91.5)	0.0 (0.0,97.5)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.026736676926790996	0.07001026012432857	0.059947035121279635	0.4460049921184538
Cap.E.7136	2600505	2553625	1328878	212	0.006324	102.0	f	3088	Carnivora	Hyaenidae	Crocuta_crocuta	best	3041	0.9847	62	49.0483	1041	62	1041	6.47	+	19	25	92.9 (66.1,99.8)	21.4 (8.3,41.0)	N/A (N/A,N/A)	0.0 (0.0,45.9)	190312_D00829_0232.lane2	40	0.06282817309433279	0.1496771078520128	0.12380348957432319	0.5074830548828354
Cap.E.7136	2600505	2553625	1328878	263	0.001308	85.2	f	2986	Carnivora	Felidae	Panthera_leo_persica	best	2386	0.799	68	35.0882	1221	63	1141	6.57	+	11	18	56.2 (29.9,80.2)	40.0 (5.3,85.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.07369183414810791	0.16416198925704628	0.13493881159704102	0.5461129624304758
Cap.E.7136	2600505	2553625	1328878	316	0.002497	223.0	f	6541	Carnivora	Canidae	Canis_lupus	best	6359	0.9721	149	42.6778	1084	135	1049	14.09	++	35	46	55.6 (40.0,70.4)	30.8 (17.0,47.6)	66.7 (9.4,99.2)	33.3 (4.3,77.7)	190312_D00829_0232.lane2	40	0.06542338101273462	0.3597078882249985	0.2721221732758049	0.2404191478598322
Cap.E.7136	2600505	2553625	1328878	397	0.0007523	24.2	f	3237	Primates	Cercopithecidae	Macaca_sylvanus	best	69	0.0213	18	3.8333	495	17	468	1.77	-	2	4	40.0 (5.3,85.3)	0.0 (0.0,60.2)	N/A (N/A,N/A)	0.0 (0.0,84.2)	190312_D00829_0232.lane2	40	0.029875067897881587	0.04345464421510049	0.03764363087806022	0.793628754746228
Cap.E.7136	2600505	2553625	1328878	5256	0.07384	427.0	f	124782	Primates	Hominidae	Homo_sapiens	fixed	111203	0.8911	530	209.8169	9842	-	-	55.32	-	24	45	9.6 (4.9,16.6)	9.7 (5.3,16.0)	0.0 (0.0,84.2)	0.0 (0.0,84.2)	190312_D00829_0232.lane2	40	0.5940008449514153	1.2794978574446254	0.6769010345554709	0.8775298228662078
Cap.E.7137	2603097	2558374	1283695	130	0.0002193	56.0	f	1028	Rodentia	Cricetidae	Ondatra_zibethicus	best	527	0.5126	16	32.9375	255	16	255	1.34	-	1	5	33.3 (0.8,90.6)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.01539018649284809	0.038626350413422654	0.03353197813504272	0.4589704320713641
Cap.E.7137	2603097	2558374	1283695	132	0.0001392	22.7	f	1529	Rodentia	Muridae	Rattus_norvegicus	best	1199	0.7841	15	79.9333	251	15	251	1.25	+	4	9	75.0 (19.4,99.4)	50.0 (1.3,98.7)	0.0 (0.0,97.5)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.015148771802764199	0.03621220351258374	0.031469568832101724	0.48137843526191315
Cap.E.7137	2603097	2558374	1283695	133	0.0005047	8.91	f	293	Carnivora	Mustelidae	Ictonyx_striatus	best	6	0.0204	6	1.0	118	2	78	0.16	-	1	1	N/A (N/A,N/A)	100.0 (2.5,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.007121733357474802	0.014484881405033496	0.012708703915412789	0.5603823493627661
Cap.E.7137	2603097	2558374	1283695	160	0.001727	59.3	f	1758	Carnivora	Ursidae	Ursus_americanus	best	1179	0.6706	30	39.3	540	24	488	2.01	++	4	6	60.0 (14.7,94.7)	100.0 (15.8,100.0)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	190312_D00829_0232.lane2	40	0.03259098316132537	0.07242440702516748	0.06194880390172497	0.5260954386307024
Cap.E.7137	2603097	2558374	1283695	179	0.003875	63.3	f	1053	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	1043	0.9905	27	38.6296	834	27	834	2.26	++	9	16	66.7 (22.3,95.7)	66.7 (29.9,92.5)	100.0 (2.5,100.0)	50.0 (1.3,98.7)	190312_D00829_0232.lane2	40	0.050334962882491396	0.06518196632265073	0.05593067332886803	0.8999527430418316
Cap.E.7137	2603097	2558374	1283695	190	0.0003396	46.7	f	1677	Rodentia	Sciuridae	Dremomys_pernyi	best	250	0.149	16	15.625	331	16	331	1.34	+	8	10	50.0 (1.3,98.7)	77.8 (40.0,97.2)	0.0 (0.0,97.5)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.01997706560444203	0.038626350413422654	0.03353197813504272	0.595761619669104
Cap.E.7137	2603097	2558374	1283695	251	0.001983	127.0	f	6963	Carnivora	Canidae	Canis_lupus_chanco	best	6470	0.9291	102	63.4313	1191	95	1103	7.97	++	27	34	69.2 (38.6,90.9)	48.7 (32.4,65.2)	50.0 (1.3,98.7)	33.3 (0.8,90.6)	190312_D00829_0232.lane2	40	0.07188122397247873	0.24624298388556945	0.1954181317017052	0.36783293006915746
Cap.E.7137	2603097	2558374	1283695	255	0.007606	35.1	f	834	Carnivora	Hyaenidae	Crocuta_crocuta	best	744	0.892	62	12.0	1349	62	1349	5.2	+	13	17	68.8 (41.3,89.0)	26.7 (7.8,55.1)	100.0 (15.8,100.0)	50.0 (6.8,93.2)	190312_D00829_0232.lane2	40	0.08141710423079244	0.1496771078520128	0.12380348957432319	0.6576317397088808
Cap.E.7137	2603097	2558374	1283695	397	0.0007523	25.4	f	2784	Primates	Cercopithecidae	Macaca_sylvanus	best	1253	0.45	15	83.5333	413	15	413	1.25	++	5	7	100.0 (29.2,100.0)	60.0 (14.7,94.7)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	190312_D00829_0232.lane2	40	0.024926066751161807	0.03621220351258374	0.031469568832101724	0.7920688994548609
Cap.E.7137	2603097	2558374	1283695	524	0.002606	302.0	f	18519	Carnivora	Felidae	Panthera_onca	best	13509	0.7294	303	44.5841	1884	252	1801	21.15	++	61	101	43.2 (32.2,54.7)	56.6 (42.3,70.2)	40.0 (12.2,73.8)	100.0 (39.8,100.0)	190312_D00829_0232.lane2	40	0.11370631902951295	0.7314865109541916	0.47581079897475365	0.23897380907394278
Cap.E.7137	2603097	2558374	1283695	534	0.0009146	26.0	f	1581	Artiodactyla	Bovidae	Bison_bonasus	best	796	0.5034	43	18.5116	892	43	892	3.61	++	14	20	41.2 (18.4,67.1)	61.5 (31.6,86.1)	33.3 (0.8,90.6)	50.0 (1.3,98.7)	190312_D00829_0232.lane2	40	0.05383547588870783	0.1038083167360734	0.08758718534876886	0.6146501417340562
Cap.E.7137	2603097	2558374	1283695	5658	0.07949	488.0	f	160905	Primates	Hominidae	Homo_sapiens	fixed	143740	0.8933	624	230.3525	10152	-	-	52.39	-	21	31	8.6 (4.5,14.6)	6.2 (2.9,11.5)	0.0 (0.0,84.2)	0.0 (0.0,60.2)	190312_D00829_0232.lane2	40	0.6127104834329169	1.5064276661234837	0.735569184547825	0.832974649161747
Cap.E.7138	2461920	2420870	1242213	142	0.001533	102.0	f	1780	Carnivora	Ursidae	Ursus_arctos	best	1754	0.9853	38	46.1578	528	35	485	3.19	+	15	17	100.0 (76.8,100.0)	33.3 (4.3,77.7)	100.0 (2.5,100.0)	33.3 (0.8,90.6)	190312_D00829_0232.lane2	40	0.031866739091073695	0.0917375822318788	0.07781026024902504	0.4095441782238864
Cap.E.7138	2461920	2420870	1242213	162	0.0006147	37.2	f	888	Carnivora	Mustelidae	Martes_foina	best	627	0.706	12	52.25	250	12	250	1.09	-	4	4	N/A (N/A,N/A)	100.0 (39.8,100.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	190312_D00829_0232.lane2	40	0.015088418130243225	0.028969762810066992	0.025255896675616007	0.5974215971833124
