DB_entry	QC	QC_comment	Comments	RunID	IndexLibID	CapLibID	IndexLibIDCoreDB	CapLibIDCoreDB	p7	p5	SampleID	ExtractID	SampleType	ExperimentType	ProbeSet	Site	Description	CC_reads	CC_percent	RawSeqs	FilteredL35	Identified	%Hominid	Mapped	%Mapped	Unique	Duplication_Rate	5'CT	3'CT	5'CT(95%CI)	3'CT(95%CI)	cond5'CT(95%CI)	cond3'CT(95%CI)	Ancient	Deaminated(term3)	H_support	H_support_deam	N-HST_support	N-HST_support_deam	N_support	N_support_deam	HST_support	HST_support_deam	D-S_support	D-S_support_deam	D_support	D_support_deam	S_support	S_support_deam	H_der	H_deam_der	N-HST_der	N-HST_deam_der	N_der	N_deam_der	HST_der	HST_deam_der	D-S_der	D-S_deam_der	D_der	D_deam_der	S_der	S_deam_der	Unnamed: 64
11599	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20802	B25012	Lib.F.9273	Cap.E.6772	444	119	SP6735	E13941	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M80 Layer 20	7.7	0.000446	1738246.0	1714631.0	21208.0	4.6	8097.0	38.2	55.0	147.22	7.7	18.2	0.2-36.0	5.2-40.3	N/A-N/A	N/A-N/A	-	5.0	NA% (0 / 0)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 1)	NA% (0 / 0)	0.0% (0 / 3)	NA% (0 / 0)	0.0% (0 / 12)	NA% (0 / 0)	0.0% (0 / 4)	0.0% (0 / 1)	0.0% (0 / 2)	NA% (0 / 0)															
11600	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20803	B25013	Lib.F.9274	Cap.E.6773	453	146	SP6736	E13942	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M81 Layer 20	7.0	0.000407	1717100.0	1694202.0	9117.0	1.6	2776.0	30.4	67.0	41.43	35.3	15.8	14.2-61.7	3.4-39.6	N/A-N/A	0.0-70.8	+	10.0	^^100.0% (3 / 3)	NA% (0 / 0)	0.0% (0 / 5)	NA% (0 / 0)	0.0% (0 / 2)	0.0% (0 / 1)	0.0% (0 / 5)	NA% (0 / 0)	15.4% (2 / 13)	33.3% (1 / 3)	0.0% (0 / 12)	0.0% (0 / 1)	0.0% (0 / 5)	0.0% (0 / 1)	(5387:1)(6266:2)								(2955:1)(11147:1)	(2955:1)					
11601	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20804	B25014	Lib.F.9275	Cap.E.6774	480	128	SP6737	E13943	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M82 Layer 20	1346.6	0.080774	1667093.0	1647288.0	4285.0	2.4	1031.0	24.1	334.0	3.09	30.7	22.0	20.5-42.4	14.0-31.9	28.4-99.5	28.4-99.5	++	64.0	^^^77.8% (14 / 18)	0.0% (0 / 3)	16.7% (4 / 24)	^66.7% (2 / 3)	0.0% (0 / 16)	0.0% (0 / 1)	7.7% (2 / 26)	0.0% (0 / 1)	7.0% (6 / 86)	11.1% (2 / 18)	2.8% (2 / 71)	6.7% (1 / 15)	2.4% (1 / 42)	11.1% (1 / 9)	(2523:1)(5821:1)(5840:2)(6266:2)(7868:1)(7891:1)(9325:1)(9869:1)(12474:1)(13656:1)(15649:1)(15667:1)		(4532:1)(10373:1)(11527:1)(12070:1)	(4532:1)(12070:1)			(3873:1)(9410:1)		(2955:3)(12064:1)(13827:1)(14605:1)	(2955:1)(12064:1)	(8008:1)(12921:1)	(8008:1)	(11002:1)	(11002:1)	
11602	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20805	B25015	Lib.F.9276	Cap.E.6775	488	181	SP6738	E13944	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M83 Layer 19	68.5	0.003952	1733734.0	1714973.0	4285.0	1.7	1678.0	39.2	342.0	4.91	16.4	13.5	8.8-27.0	7.6-21.6	0.8-90.6	0.6-80.6	-	43.0	^^^84.4% (27 / 32)	^66.7% (2 / 3)	0.0% (0 / 38)	0.0% (0 / 3)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 14)	0.0% (0 / 1)	^14.5% (11 / 76)	^42.9% (3 / 7)	6.8% (4 / 59)	0.0% (0 / 3)	5.3% (2 / 38)	0.0% (0 / 6)	(2056:4)(2523:1)(2831:1)(4904:1)(4940:1)(5387:1)(6266:3)(6452:1)(6641:3)(8021:1)(8065:1)(9869:1)(10307:1)(10324:1)(10750:1)(11590:1)(13359:1)(13889:2)(15148:1)	(6641:1)(10750:1)							(1761:2)(2955:2)(6242:1)(7232:2)(9647:1)(11016:1)(12801:1)(13827:1)	(2955:1)(7232:1)(12801:1)	(596:1)(8008:1)(10966:1)(15403:1)		(1766:2)		
11603	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20806	B25016	Lib.F.9277	Cap.E.6776	478	121	SP6739	E13945	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M84 Layer 22.1	52.7	0.003548	1485019.0	1459029.0	80132.0	100.0	59342.0	74.1	601.0	98.74	0.6	1.6	0.0-3.4	0.2-5.6	N/A-N/A	N/A-N/A	-	6.0	^^^100.0% (34 / 34)	^^100.0% (2 / 2)	0.0% (0 / 78)	NA% (0 / 0)	0.0% (0 / 78)	NA% (0 / 0)	0.0% (0 / 29)	NA% (0 / 0)	0.0% (0 / 128)	0.0% (0 / 2)	0.0% (0 / 220)	NA% (0 / 0)	0.0% (0 / 76)	NA% (0 / 0)	(2523:4)(2831:1)(4904:1)(4940:3)(5387:1)(6641:2)(7891:1)(8065:3)(8503:4)(10307:1)(10324:1)(11590:2)(13095:4)(13656:1)(15148:4)(15355:1)	(13095:2)													
11604	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20807	B25017	Lib.F.9278	Cap.E.6777	416	134	SP6740	E13946	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M85 Layer 22.1	66.9	0.004112	1627826.0	1603685.0	57306.0	38.3	41568.0	72.5	314.0	132.38	6.8	2.9	2.3-15.3	0.4-10.2	0.0-84.2	0.0-97.5	-	12.0	^^^93.8% (15 / 16)	100.0% (1 / 1)	0.0% (0 / 27)	0.0% (0 / 1)	4.0% (1 / 25)	NA% (0 / 0)	0.0% (0 / 20)	NA% (0 / 0)	1.2% (1 / 84)	0.0% (0 / 3)	0.0% (0 / 124)	0.0% (0 / 2)	0.0% (0 / 38)	0.0% (0 / 1)	(2523:2)(5387:1)(5821:1)(5840:1)(6266:1)(8021:2)(8065:3)(8461:1)(9325:2)(10324:1)	(2523:1)			(3918:1)				(4958:1)						
11605	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20808	B25018	Lib.F.9279	Cap.E.6778	472	182	SP6741	E13947	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M86 Layer 22.1	146.1	0.008571	1704147.0	1679607.0	41659.0	40.0	26068.0	62.6	289.0	90.2	7.5	5.8	1.6-20.4	1.2-15.9	N/A-N/A	0.0-97.5	-	17.0	^^^97.5% (39 / 40)	NA% (0 / 0)	0.0% (0 / 23)	NA% (0 / 0)	0.0% (0 / 17)	NA% (0 / 0)	0.0% (0 / 27)	NA% (0 / 0)	1.5% (1 / 67)	0.0% (0 / 9)	0.0% (0 / 77)	0.0% (0 / 4)	2.0% (1 / 51)	33.3% (1 / 3)	(4940:1)(5387:1)(5580:6)(5821:1)(5840:1)(7868:2)(7891:2)(8065:1)(9325:1)(9869:1)(10307:4)(10324:4)(10750:2)(13359:4)(15148:1)(15355:4)(15443:3)								(14073:1)				(13983:1)	(13983:1)	
11606	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20809	B25019	Lib.F.9280	Cap.E.6779	465	159	SP6742	E13948	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M87 Layer 22.1	4.9	0.000284	1713395.0	1686015.0	38842.0	27.7	18107.0	46.6	158.0	114.6	13.3	4.7	3.8-30.7	0.6-15.8	N/A-N/A	0.0-70.8	-	14.0	^^^91.3% (21 / 23)	100.0% (1 / 1)	0.0% (0 / 15)	0.0% (0 / 6)	0.0% (0 / 8)	NA% (0 / 0)	0.0% (0 / 8)	NA% (0 / 0)	2.6% (1 / 38)	NA% (0 / 0)	0.0% (0 / 20)	NA% (0 / 0)	4.8% (1 / 21)	100.0% (1 / 1)	(2056:2)(2523:4)(4904:1)(5840:1)(6266:1)(6452:1)(8021:1)(9325:1)(11590:1)(12474:1)(13359:3)(13889:1)(15148:2)(15443:1)	(15148:1)							(4991:1)				(6272:1)	(6272:1)	
11607	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20810	B25020	Lib.F.9281	Cap.E.6780	470	109	SP6743	E13949	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M88 Layer 22.1	225.3	0.015078	1494161.0	1475979.0	23085.0	30.2	12339.0	53.5	85.0	145.16	30.0	23.1	11.9-54.3	9.0-43.6	2.5-100.0	2.5-100.0	+	14.0	^^^100.0% (5 / 5)	NA% (0 / 0)	0.0% (0 / 6)	0.0% (0 / 1)	0.0% (0 / 13)	NA% (0 / 0)	0.0% (0 / 7)	0.0% (0 / 1)	^19.2% (5 / 26)	^^100.0% (2 / 2)	^19.0% (4 / 21)	^^^75.0% (3 / 4)	0.0% (0 / 11)	0.0% (0 / 1)	(8461:1)(10307:2)(10324:1)(10750:1)								(1761:2)(3978:1)(8203:1)(14476:1)	(1761:1)(14476:1)	(4622:1)(5270:1)(12921:1)(14662:1)	(5270:1)(12921:1)(14662:1)			
11609	passed		inclDenSedEZ2021	190228_D00829_0224.lane2	A20814	B25022	Lib.F.9285	Cap.E.6782	414	136	SP6744	E13951	sediment	Screening	AA163	Denisova Cave, Russia	Denisova Main Chamber (2/4) M89 Layer 22.1	212.5	0.011313	1878549.0	1848714.0	124586.0	80.2	109408.0	87.8	1067.0	102.54	6.6	3.9	3.5-11.3	1.9-7.1	0.0-84.2	0.0-97.5	-	37.0	^^^98.2% (109 / 111)	^^^87.5% (7 / 8)	1.0% (1 / 98)	25.0% (1 / 4)	0.0% (0 / 136)	0.0% (0 / 4)	0.0% (0 / 102)	0.0% (0 / 1)	0.3% (1 / 286)	0.0% (0 / 9)	0.0% (0 / 301)	0.0% (0 / 3)	0.0% (0 / 156)	0.0% (0 / 2)	(2056:5)(2523:3)(4904:5)(4940:2)(5387:1)(5580:10)(5821:2)(5840:2)(6266:3)(6452:1)(6641:2)(7868:1)(7891:4)(8021:3)(8065:1)(8461:1)(9325:2)(9869:1)(10307:12)(10324:11)(10750:6)(12474:3)(13095:4)(13359:1)(13656:3)(13889:3)(15148:7)(15355:5)(15649:1)(15667:4)	(2523:1)(4904:2)(4940:2)(6266:1)(15667:1)	(6260:1)	(6260:1)					(10223:1)						
