Summary table of all sediment samples,,,,,,,,,,,,,,,,,
Data source refers to the step in the screening of samples,,,,,,,,,,,,,,,,,
Controls are identified in SampleID column: ENC=Extraction Negative Control; LNC=Library Negataive Control,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Data Source,Chamber (Section),Library PlateID,Layer,MPI-EVA sample ID,Field sampleID,Sub-sample/lysate ID,Input for DNA extraction (mg),Extract ID,Number of molecules in library,Control oligo copies in library,Indexed library ID,Captured library ID - mammalian mtDNA,ENA Accession ID,Ancient mammalian mtDNA present,Captured library ID - human mtDNA,ENA Accession ID,Ancient hominin mtDNA present
First Screen,East NW,Pl_257,15,SP7327,E1,Lys2837,61.9,E12359,4.24E+10,1.29E+05,M3826,B19405,ERS6159581,Yes,B19314,ERS6160970,Yes
First Screen,East NW,Pl_257,15,SP7328,E2,Lys2838,57.8,E12360,6.93E+10,2.71E+05,M3827,B19406,ERS6159582,Yes,B19316,ERS6160971,Yes
First Screen,East NW,Pl_257,14,SP7329,E3,Lys2839,51.3,E12361,6.84E+10,1.78E+05,M3828,B19407,ERS6159583,Yes,B19317,ERS6160972,Yes
First Screen,,Pl_257,,ENC,,,,E12362,7.28E+07,1.38E+06,M3829,B19408,ERS6159584,No,B19318,ERS6160973,No
First Screen,,Pl_257,,LNC,,,,,8.60E+07,9.04E+05,M3830,B19409,ERS6159585,No,B19319,ERS6160974,No
First Screen,East NW,Pl_257,14,SP7330,E4,Lys2841,87.9,E12365,6.60E+10,4.26E+05,M3834,B19412,ERS6159586,Yes,B19320,ERS6160975,Yes
First Screen,East NW,Pl_257,14,SP7331,E5,Lys2842,41.3,E12366,2.68E+10,4.98E+05,M3835,B19413,ERS6159587,Yes,B19321,ERS6160976,Yes
First Screen,East NW,Pl_257,14,SP7332,E6,Lys2843,45.2,E12367,2.80E+10,5.28E+05,M3836,B19414,ERS6159588,Yes,B19322,ERS6160977,No
First Screen,East NW,Pl_257,14/15,SP7333,E7,Lys2844,43.8,E12368,3.42E+10,1.55E+05,M3837,B19415,ERS6159589,Yes,B19323,ERS6160978,No
First Screen,East NW,Pl_257,14,SP7334,E8,Lys2845,65.1,E12369,3.71E+10,6.08E+05,M3838,B19416,ERS6159590,Yes,B19324,ERS6160979,Yes
First Screen,East NW,Pl_257,14,SP7335,E9,Lys2846,42.1,E12370,3.27E+10,4.98E+05,M3839,B19417,ERS6159591,Yes,B19325,ERS6160980,Yes
First Screen,East NW,Pl_257,14,SP7336,E10,Lys2847,42.6,E12371,1.98E+10,4.47E+05,M3840,B19418,ERS6159592,Yes,B19326,ERS6160981,Yes
First Screen,East NW,Pl_257,13/14,SP7337,E11,Lys2848,46.7,E12372,1.24E+11,6.05E+05,M3841,B19419,ERS6159593,Yes,B19327,ERS6160982,No
First Screen,East NW,Pl_257,15,SP7338,E12,Lys2849,41.2,E12373,1.68E+10,7.77E+04,M3842,B19420,ERS6159594,Yes,B19328,ERS6160983,Yes
First Screen,East NW,Pl_257,14,SP7339,E13,Lys2850,58.3,E12374,3.43E+10,1.49E+05,M3843,B19421,ERS6159595,Yes,B19329,ERS6160984,Yes
First Screen,East NW,Pl_257,14,SP7340,E14,Lys2851,61.5,E12375,3.47E+10,5.29E+05,M3844,B19422,ERS6159596,Yes,B19330,ERS6160985,Yes
First Screen,East NW,Pl_257,14,SP7341,E15,Lys2852,47.8,E12376,5.67E+10,3.27E+05,M3845,B19423,ERS6159597,Yes,B19331,ERS6160986,No
First Screen,East NW,Pl_257,14,SP7342,E16,Lys2853,52.9,E12377,2.69E+10,6.23E+05,M3846,B19424,ERS6159598,Yes,B19332,ERS6160987,No
First Screen,East NW,Pl_257,13,SP7343,E17,Lys2854,54,E12378,5.25E+11,7.50E+05,M3847,B19425,ERS6159599,Yes,B19333,ERS6160988,No
First Screen,East NW,Pl_257,15,SP7344,E18,Lys2855,94.1,E12379,3.10E+10,2.19E+04,M3848,B19426,ERS6159600,Yes,B19336,ERS6160989,Yes
First Screen,East NW,Pl_257,14,SP7345,E19,Lys2856,48.9,E12380,4.22E+10,3.04E+05,M3849,B19427,ERS6159601,Yes,B19337,ERS6160990,Yes
First Screen,East NW,Pl_257,14,SP7346,E20,Lys2857,69.8,E12381,4.02E+10,4.56E+05,M3850,B19428,ERS6159602,Yes,B19338,ERS6160991,Yes
First Screen,East NW,Pl_257,14,SP7347,E21,Lys2858,58.7,E12382,1.83E+10,4.43E+05,M3851,B19429,ERS6159603,Yes,B19339,ERS6160992,No
First Screen,East NW,Pl_257,13,SP7348,E22,Lys2859,78.1,E12383,4.74E+11,5.82E+05,M3852,B19432,ERS6159604,Yes,B19340,ERS6160993,No
First Screen,,Pl_257,,LNC,,,,,7.34E+07,1.64E+06,M3853,B19433,ERS6159605,No,B19341,ERS6160994,No
First Screen,East NW,Pl_257,15,SP7349,E23,Lys2860,87.6,E12386,3.27E+10,8.81E+04,M3858,B19435,ERS6159606,Yes,B19342,ERS6160995,Yes
First Screen,,Pl_257,,ENC,,,,E12387,7.47E+07,1.63E+06,M3859,B19436,ERS6159607,No,B19343,ERS6160996,No
First Screen,East NW,Pl_257,15,SP7350,E24,Lys2862,64,E12388,3.01E+10,4.46E+04,M3860,B19437,ERS6159608,Yes,B19344,ERS6160997,No
First Screen,East NW,Pl_257,14,SP7351,E25,Lys2863,85.6,E12389,4.88E+10,4.94E+05,M3861,B19438,ERS6159609,Yes,B19345,ERS6160998,Yes
First Screen,East NW,Pl_257,14,SP7352,E26,Lys2864,53.4,E12390,3.14E+10,4.93E+05,M3862,B19439,ERS6159610,Yes,B19346,ERS6160999,Yes
First Screen,East NW,Pl_257,14,SP7353,E27,Lys2865,51.85,E12391,6.05E+10,3.19E+05,M3863,B19440,ERS6159611,Yes,B19347,ERS6161000,No
First Screen,East NW,Pl_257,14,SP7354,E28,Lys2866,59.4,E12392,1.75E+11,3.61E+05,M3864,B19441,ERS6159612,Yes,B19348,ERS6161001,No
First Screen,East NW,Pl_257,13,SP7355,E29,Lys2867,68.9,E12393,3.86E+11,7.29E+05,M3865,B19442,ERS6159613,Yes,B19349,ERS6161002,Yes
First Screen,East NW,Pl_257,15,SP7356,E30,Lys2868,75.1,E12394,4.44E+10,2.00E+05,M3866,B19443,ERS6159614,Yes,B19350,ERS6161003,Yes
First Screen,East NW,Pl_257,14,SP7357,E31,Lys2869,68.7,E12395,4.03E+10,5.06E+05,M3867,B19444,ERS6159615,Yes,B19351,ERS6161004,No
