RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
hyaena_1000_human_10	2499628	2499628	2499628	1	0.0001849	113.0	f	34	Artiodactyla	Eschrichtiidae	Eschrichtius_robustus	best	3	0.0882	2	1.5000	36	2	36	0.00	-	0	0	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	35.5	N/A	0.0	0.002	0.003	0.575
hyaena_1000_human_10	2499628	2499628	2499628	107	0.01422	83.0	f	878	Carnivora	Nandiniidae	Nandinia_binotata	best	404	0.4601	143	2.8251	1123	130	983	0.29	-	5	24	13.8 (3.9,31.7)	9.1 (0.2,41.3)	N/A (N/A,N/A)	N/A (N/A,N/A)	43.1	44.5	0.36	0.065	0.276	0.237
hyaena_1000_human_10	2499628	2499628	2499628	11	0.001231	111.0	f	133	Artiodactyla	Lipotidae	Lipotes_vexillifer	best	263	1.9774	40	6.5750	138	36	85	0.08	-	0	1	N/A (N/A,N/A)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	49.5	35.0	0.11	0.008	0.1	0.084
hyaena_1000_human_10	2499628	2499628	2499628	11	0.002834	208.0	f	541	Artiodactyla	Moschidae	Moschus_moschiferus	best	125	0.2310	42	2.9761	392	42	392	0.09	-	0	1	0.0 (0.0,30.8)	0.0 (0.0,41.0)	N/A (N/A,N/A)	N/A (N/A,N/A)	40.3	45.0	0.1	0.023	0.087	0.274
hyaena_1000_human_10	2499628	2499628	2499628	123	0.02032	144.0	f	14875	Carnivora	Viverridae	Genetta_genetta	best	2881	0.1936	735	3.9197	4235	731	4176	1.65	-	40	99	14.2 (9.2,20.5)	11.2 (6.8,17.2)	33.3 (0.8,90.6)	25.0 (0.6,80.6)	44.8	45.1	1.95	0.251	0.821	0.305
hyaena_1000_human_10	2499628	2499628	2499628	13	0.001058	52.3	f	46	Sirenia	Tenrecidae	Echinops_telfairi	best	5	0.1086	4	1.2500	79	4	79	0.00	-	0	0	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	N/A (N/A,N/A)	36.5	N/A	0.0	0.004	0.007	0.615
hyaena_1000_human_10	2499628	2499628	2499628	13	0.001198	40.7	f	103	Diprotodontia	Tarsipedidae	Tarsipes_rostratus	best	114	1.1067	17	6.7058	111	17	111	0.03	-	1	1	100.0 (2.5,100.0)	0.0 (0.0,70.8)	N/A (N/A,N/A)	0.0 (0.0,97.5)	45.8	46.0	0.04	0.007	0.042	0.164
hyaena_1000_human_10	2499628	2499628	2499628	13	0.001265	85.6	f	99	Sirenia	Dugongidae	Hydrodamalis_gigas	best	23	0.2323	12	1.9166	137	12	137	0.02	-	3	4	42.9 (9.9,81.6)	0.0 (0.0,84.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	39.8	39.8	0.02	0.008	0.024	0.329
hyaena_1000_human_10	2499628	2499628	2499628	13	0.01116	27.2	f	349	Proboscidea	Elephantidae	Mammuthus_primigenius	best	95	0.2722	31	3.0645	315	31	315	0.07	-	1	1	14.3 (0.4,57.9)	50.0 (1.3,98.7)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	39.6	35.0	0.07	0.018	0.062	0.3
hyaena_1000_human_10	2499628	2499628	2499628	14	0.001198	17.9	f	42	Diprotodontia	Petauridae	Gymnobelideus_leadbeateri	best	16	0.3809	5	3.2000	85	5	85	0.01	-	0	1	N/A (N/A,N/A)	0.0 (0.0,97.5)	N/A (N/A,N/A)	N/A (N/A,N/A)	39.4	43.0	0.01	0.005	0.01	0.491
