Project Name,Site Name,Site Id,Site Country,Site Coordinates,Layer Name,Layer Parent,Layer Profile,Layer Colour,Layer Texture,Layer Age,Layer Umbrella Culture,Layer Culture,Layer Culture (Mixed),Layer Epoch,Sample Batch Name,Sample Batch Arrival,Fossil Remain,Sample Name,Sample Synonyms,Sample Type,Sample Year of Collection,Sample Provenience,Sample Age,Sample Age Upper,Sample Age Lower,Lysate,ENC Batch,Library,Molecules (qPCR),Efficiency,LNC Batch,Capture,Capture Probe,Sequencing Run,Sequencing Lane,Sequencing Pool,Tag,QC,quicksand version,ReadsRaw,ReadsLengthfiltered,ReadsIdentified,ReadsMapped,ReadsDeduped,DuplicationRate,ReadsBedfiltered,SeqsInAncientTaxa,Ancient,AncientTaxa,OtherTaxa,Subsitutions,QS_ver,CC_reads,CC_percent,RawSeqs,FilteredL35,Identified,%Hominid,Mapped,%Mapped,Unique,Duplication_Rate,5'CT,3'CT,5'CT(95%CI),3'CT(95%CI),cond5'CT(95%CI),cond3'CT(95%CI),MM_Ancient,Deaminated(term3),H_support,H_support_deam,N-HST_support,N-HST_support_deam,N_support,N_support_deam,HST_support,HST_support_deam,D-S_support,D-S_support_deam,D_support,D_support_deam,S_support,S_support_deam,H_der,H_deam_der,N-HST_der,N-HST_deam_der,N_der,N_deam_der,HST_der,HST_deam_der,D-S_der,D-S_deam_der,D_der,D_deam_der,S_der,S_deam_der
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 20,,Main Chamber,,,"294,000 - 151,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7572,freshkills id:SP6735;Field Id:M80,Sediment,2018,,"294,000 - 151,000 years",294000,151000,Lys.A.1346,LyB-20180126-EZ,Lib.F.9273,15675000000,54.36,Pl_290,Cap.E.6858,AA75,190228_D00829_0224,lane1,P.A.861,Screening,Pass,v2.1,2608898,1385615,209678,174196,16221,10.74,15805,16221,++,Bovidae(259[1.56%]) Canidae(13117[77.92%]) Cervidae(151[0.87%]) Felidae(583[3.41%]) Mustelidae(127[0.73%]) Rhinocerotidae(638[3.83%]) Ursidae(1346[7.81%]),-,"Bovidae(68.1[52.9-80.9],33.3[20.4-48.4]) Canidae(65.1[63.3-66.9],50.1[48.3-52.0]) Cervidae(77.8[52.4-93.6],41.0[25.6-57.9]) Felidae(53.8[43.8-63.5],55.5[46.1-64.6]) Mustelidae(60.9[38.5-80.3],61.5[40.6-79.8]) Rhinocerotidae(63.0[54.4-71.1],53.8[44.4-63.1]) Ursidae(62.9[57.1-68.4],57.4[51.4-63.2])",2.1,0.0,0.0,2608898,2574474,709,0.2,348,49.1,30,11.6,12.5,0.0,0.3-52.7,0.0-28.5,N/A-N/A,N/A-N/A,-,1,NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 4),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),,,,,,,,,,,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 20,,Main Chamber,,,"294,000 - 151,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7572,freshkills id:SP6735;Field Id:M80,Sediment,2018,,"294,000 - 151,000 years",294000,151000,Lys.A.1346,LyB-20180126-EZ,Lib.F.9273,15675000000,54.36,Pl_290,Cap.E.6772,AA163,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1738246,888724,22373,8307,66,125.86,10,0,-,-,Cercopithecidae(11[0.83%]) Hominidae(55[4.61%]),"Cercopithecidae(N/A[N/A-N/A],50.0[1.3-98.7]) Hominidae(7.7[0.2-36.0],18.2[5.2-40.3])",2.3,7.7,0.000446,1738246,1714631,21208,4.6,8097,38.2,55,147.22,7.7,18.2,0.2-36.0,5.2-40.3,N/A-N/A,N/A-N/A,-,5,NA% (0 / 0),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 12),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 2),NA% (0 / 0),,,,,,,,,,,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 20,,Main Chamber,,,"294,000 - 151,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7573,freshkills id:SP6736;Field Id:M81,Sediment,2018,,"294,000 - 151,000 years",294000,151000,Lys.A.1347,LyB-20180126-EZ,Lib.F.9274,22608750000,95.83,Pl_290,Cap.E.6859,AA75,190228_D00829_0224,lane1,P.A.861,Screening,Pass,v2.1,2468123,1329970,181144,154251,22486,6.86,21889,22486,++,Bovidae(2437[10.02%]) Canidae(6626[27.4%]) Cervidae(258[1.06%]) Elephantidae(842[3.5%]) Equidae(670[2.8%]) Felidae(600[2.46%]) Hyaenidae(7153[29.35%]) Rhinocerotidae(1570[6.53%]) Ursidae(2330[9.59%]),-,"Bovidae(59.4[55.2-63.5],42.5[38.2-47.0]) Canidae(64.0[61.5-66.5],51.3[48.6-54.0]) Cervidae(56.4[42.3-69.7],48.8[33.3-64.5]) Elephantidae(62.6[55.2-69.7],54.4[46.9-61.8]) Equidae(59.1[50.4-67.4],53.7[46.0-61.2]) Felidae(61.6[52.9-69.7],46.1[37.7-54.7]) Hyaenidae(54.0[51.7-56.4],44.5[42.0-46.9]) Rhinocerotidae(62.2[57.0-67.3],55.4[49.7-60.9]) Ursidae(59.4[55.2-63.5],47.6[43.0-52.3])",2.1,8.2,0.000334,2468123,2436732,1360,0.2,452,33.2,38,11.89,37.5,12.5,8.5-75.5,0.3-52.7,N/A-N/A,0.0-97.5,-,4,100.0% (1 / 1),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 1),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),^33.3% (3 / 9),^50.0% (2 / 4),0.0% (0 / 12),0.0% (0 / 1),0.0% (0 / 3),0.0% (0 / 1),(6266:1),,,,,,,,(2955:3),(2955:2),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 20,,Main Chamber,,,"294,000 - 151,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7573,freshkills id:SP6736;Field Id:M81,Sediment,2018,,"294,000 - 151,000 years",294000,151000,Lys.A.1347,LyB-20180126-EZ,Lib.F.9274,22608750000,95.83,Pl_290,Cap.E.6773,AA163,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1717100,911711,9761,3115,92,33.86,25,0,+,-,Hominidae(67[1.59%]) Mustelidae(25[0.59%]),"Hominidae(35.3[14.2-61.7],15.8[3.4-39.6]) Mustelidae(0.0[0.0-84.2],66.7[9.4-99.2])",2.3,7.0,0.000407,1717100,1694202,9117,1.6,2776,30.4,67,41.43,35.3,15.8,14.2-61.7,3.4-39.6,N/A-N/A,0.0-70.8,+,10,^^100.0% (3 / 3),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),0.0% (0 / 2),0.0% (0 / 1),0.0% (0 / 5),NA% (0 / 0),15.4% (2 / 13),33.3% (1 / 3),0.0% (0 / 12),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 1),(5387:1)(6266:2),,,,,,,,(2955:1)(11147:1),(2955:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 20,,Main Chamber,,,"294,000 - 151,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7574,freshkills id:SP6737;Field Id:M82,Sediment,2018,,"294,000 - 151,000 years",294000,151000,Lys.A.1348,LyB-20180126-EZ,Lib.F.9275,81225000000,65.8,Pl_290,Cap.E.6860,AA75,190228_D00829_0224,lane1,P.A.861,Screening,Pass,v2.1,2627650,1448257,195670,156635,51994,3.01,50409,51994,++,Bovidae(16829[28.55%]) Canidae(1968[3.39%]) Cervidae(1101[1.84%]) Elephantidae(2029[3.48%]) Equidae(2659[4.63%]) Felidae(873[1.48%]) Hyaenidae(23298[39.51%]) Rhinocerotidae(2271[3.92%]) Ursidae(966[1.66%]),-,"Bovidae(57.3[55.7-58.9],44.3[42.7-45.9]) Canidae(57.1[52.2-61.9],46.1[41.0-51.1]) Cervidae(67.2[61.2-72.8],45.7[39.2-52.3]) Elephantidae(59.5[54.9-64.0],44.7[39.8-49.6]) Equidae(59.2[55.1-63.2],48.9[44.7-53.2]) Felidae(56.8[49.5-64.0],51.4[44.5-58.2]) Hyaenidae(57.5[56.2-58.9],46.2[44.8-47.5]) Rhinocerotidae(60.7[56.6-64.8],45.8[41.3-50.5]) Ursidae(57.3[50.3-64.0],41.7[35.1-48.6])",2.1,54.5,0.002073,2627650,2597407,809,0.1,125,15.5,38,3.29,16.7,16.7,0.4-64.1,0.4-64.1,N/A-N/A,N/A-N/A,-,3,^50.0% (2 / 4),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),11.1% (1 / 9),100.0% (1 / 1),0.0% (0 / 6),NA% (0 / 0),0.0% (0 / 2),NA% (0 / 0),(5821:1)(5840:1),,,,,,,,(2955:1),(2955:1),,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 20,,Main Chamber,,,"294,000 - 151,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7574,freshkills id:SP6737;Field Id:M82,Sediment,2018,,"294,000 - 151,000 years",294000,151000,Lys.A.1348,LyB-20180126-EZ,Lib.F.9275,81225000000,65.8,Pl_290,Cap.E.6774,AA163,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1667093,933162,4285,1031,334,3.09,0,334,++,Hominidae(334[2.37%]),-,"Hominidae(30.7[20.5-42.4],22.0[14.0-31.9])",2.3,1346.6,0.080774,1667093,1647288,4285,2.4,1031,24.1,334,3.09,30.7,22.0,20.5-42.4,14.0-31.9,28.4-99.5,28.4-99.5,++,64,^^^77.8% (14 / 18),0.0% (0 / 3),16.7% (4 / 24),^66.7% (2 / 3),0.0% (0 / 16),0.0% (0 / 1),7.7% (2 / 26),0.0% (0 / 1),7.0% (6 / 86),11.1% (2 / 18),2.8% (2 / 71),6.7% (1 / 15),2.4% (1 / 42),11.1% (1 / 9),(2523:1)(5821:1)(5840:2)(6266:2)(7868:1)(7891:1)(9325:1)(9869:1)(12474:1)(13656:1)(15649:1)(15667:1),,(4532:1)(10373:1)(11527:1)(12070:1),(4532:1)(12070:1),,,(3873:1)(9410:1),,(2955:3)(12064:1)(13827:1)(14605:1),(2955:1)(12064:1),(8008:1)(12921:1),(8008:1),(11002:1),(11002:1)
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 19,,Main Chamber,,,"168,000 - 115,000 years",Middle Palaeolithic,Altai Middle Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7575,freshkills id:SP6738;Field Id:M83,Sediment,2018,,"168,000 - 115,000 years",168000,115000,Lys.A.1349,LyB-20180126-EZ,Lib.F.9276,146825000000,59.34,Pl_290,Cap.E.6861,AA75,190228_D00829_0224,lane1,P.A.861,Screening,Pass,v2.1,2380040,1328849,208272,167093,75100,2.22,73209,75100,++,Bovidae(27822[33.26%]) Canidae(5235[6.24%]) Cervidae(5327[6.35%]) Elephantidae(4517[5.46%]) Equidae(4251[5.14%]) Hyaenidae(23358[27.58%]) Rhinocerotidae(3164[3.82%]) Ursidae(1426[1.69%]),-,"Bovidae(54.1[52.9-55.3],40.4[39.2-41.6]) Canidae(62.6[59.7-65.5],48.2[45.3-51.2]) Cervidae(57.9[55.1-60.6],39.7[36.9-42.5]) Elephantidae(59.1[56.0-62.1],44.3[41.2-47.4]) Equidae(60.0[56.9-63.0],44.8[41.6-47.9]) Hyaenidae(53.9[52.6-55.3],41.5[40.2-42.8]) Rhinocerotidae(60.0[56.4-63.4],50.6[46.8-54.3]) Ursidae(51.0[45.6-56.5],47.2[41.7-52.7])",2.1,87.5,0.003675,2380040,2353886,891,0.1,229,25.7,102,2.25,18.5,11.8,6.3-38.1,3.3-27.5,N/A-N/A,N/A-N/A,-,16,^^^100.0% (5 / 5),NA% (0 / 0),0.0% (0 / 4),0.0% (0 / 1),0.0% (0 / 2),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),^^46.7% (7 / 15),^^60.0% (3 / 5),7.7% (1 / 13),NA% (0 / 0),0.0% (0 / 13),0.0% (0 / 1),(2056:1)(6266:2)(6641:1)(13359:1),,,,,,,,(2955:6)(12801:1),(2955:2)(12801:1),(10966:1),,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 19,,Main Chamber,,,"168,000 - 115,000 years",Middle Palaeolithic,Altai Middle Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7575,freshkills id:SP6738;Field Id:M83,Sediment,2018,,"168,000 - 115,000 years",168000,115000,Lys.A.1349,LyB-20180126-EZ,Lib.F.9276,146825000000,59.34,Pl_290,Cap.E.6775,AA163,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1733734,964718,4285,1678,342,4.91,0,0,-,-,Hominidae(342[1.7%]),"Hominidae(16.4[8.8-27.0],13.5[7.6-21.6])",2.3,68.5,0.003952,1733734,1714973,4285,1.7,1678,39.2,342,4.91,16.4,13.5,8.8-27.0,7.6-21.6,0.8-90.6,0.6-80.6,-,43,^^^84.4% (27 / 32),^66.7% (2 / 3),0.0% (0 / 38),0.0% (0 / 3),0.0% (0 / 13),NA% (0 / 0),0.0% (0 / 14),0.0% (0 / 1),^14.5% (11 / 76),^42.9% (3 / 7),6.8% (4 / 59),0.0% (0 / 3),5.3% (2 / 38),0.0% (0 / 6),(2056:4)(2523:1)(2831:1)(4904:1)(4940:1)(5387:1)(6266:3)(6452:1)(6641:3)(8021:1)(8065:1)(9869:1)(10307:1)(10324:1)(10750:1)(11590:1)(13359:1)(13889:2)(15148:1),(6641:1)(10750:1),,,,,,,(1761:2)(2955:2)(6242:1)(7232:2)(9647:1)(11016:1)(12801:1)(13827:1),(2955:1)(7232:1)(12801:1),(596:1)(8008:1)(10966:1)(15403:1),,(1766:2),
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.2,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7576,freshkills id:SP6739;Field Id:M84,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1350,LyB-20180126-EZ,Lib.F.9277,15931250000,97.75,Pl_290,Cap.E.6862,AA75,190228_D00829_0224,lane1,P.A.861,Screening,Pass,v2.1,2315004,1101233,52480,31910,776,41.12,424,214,++,Felidae(54[6.98%]) Ursidae(160[19.92%]),Bovidae(41[5.04%]) Canidae(15[1.94%]) Elephantidae(8[1.03%]) Equidae(25[3.23%]) Hominidae(333[43.07%]) Hyaenidae(115[14.1%]) Mustelidae(11[0.77%]) Rhinocerotidae(14[1.81%]),"Bovidae(55.6[21.2-86.3],25.0[5.5-57.2]) Canidae(100.0[2.5-100.0],25.0[0.6-80.6]) Elephantidae(0.0[0.0-70.8],N/A[N/A-N/A]) Equidae(40.0[12.2-73.8],20.0[0.5-71.6]) Felidae(75.0[34.9-96.8],58.3[27.7-84.8]) Hominidae(5.9[1.9-13.2],0.0[0.0-5.1]) Hyaenidae(36.8[16.3-61.6],24.0[9.4-45.1]) Mustelidae(75.0[19.4-99.4],N/A[N/A-N/A]) Rhinocerotidae(25.0[0.6-80.6],33.3[0.8-90.6]) Ursidae(59.4[40.6-76.3],48.5[30.8-66.5])",2.1,102.4,0.004423,2315004,2274366,19096,43.1,14323,75.0,333,43.01,5.9,0.0,1.9-13.2,0.0-5.1,N/A-N/A,0.0-97.5,-,6,^^^100.0% (25 / 25),^^100.0% (2 / 2),0.0% (0 / 44),NA% (0 / 0),0.0% (0 / 39),NA% (0 / 0),0.0% (0 / 19),0.0% (0 / 1),0.0% (0 / 73),0.0% (0 / 1),0.0% (0 / 126),NA% (0 / 0),0.0% (0 / 44),NA% (0 / 0),(2523:6)(4904:1)(4940:2)(5387:2)(6641:1)(7891:1)(8065:2)(8503:2)(10307:1)(10324:1)(11590:1)(13656:1)(15148:3)(15355:1),(2523:1)(5387:1),,,,,,,,,,,,
Pleistocene sediment DNA reveals hominin and faunal turnovers at Denisova Cave,Denisova Cave,DENI,Russia,"51.3974,84.6766",Layer 22.2,Layer 22,Main Chamber,,,"409,000 - 246,000 years",Middle Palaeolithic,Altai Early Middle Palaeolithic,,,2018 Excavation,2018,,SP.A.7576,freshkills id:SP6739;Field Id:M84,Sediment,2018,,"409,000 - 246,000 years",409000,246000,Lys.A.1350,LyB-20180126-EZ,Lib.F.9277,15931250000,97.75,Pl_290,Cap.E.6776,AA163,190228_D00829_0224,lane2,P.A.862,Screening,Pass,v2.3,1485019,706985,80132,59342,601,98.74,0,0,-,-,Hominidae(601[99.83%]),"Hominidae(0.6[0.0-3.4],1.6[0.2-5.6])",2.3,52.7,0.003548,1485019,1459029,80132,100.0,59342,74.1,601,98.74,0.6,1.6,0.0-3.4,0.2-5.6,N/A-N/A,N/A-N/A,-,6,^^^100.0% (34 / 34),^^100.0% (2 / 2),0.0% (0 / 78),NA% (0 / 0),0.0% (0 / 78),NA% (0 / 0),0.0% (0 / 29),NA% (0 / 0),0.0% (0 / 128),0.0% (0 / 2),0.0% (0 / 220),NA% (0 / 0),0.0% (0 / 76),NA% (0 / 0),(2523:4)(2831:1)(4904:1)(4940:3)(5387:1)(6641:2)(7891:1)(8065:3)(8503:4)(10307:1)(10324:1)(11590:2)(13095:4)(13656:1)(15148:4)(15355:1),(13095:2),,,,,,,,,,,,
