Screen	DataSource	SampleID	IndexLibID	RunID	total_x	total_y	total_z	sq_x	sq_y	layer	chamber	mg_ml	marker
First	FirstScreen_nomerg	SP6656	A20610	190312_D00829_0232.lane2	error	error	error	18	31	21 ?	Main	35.5	 M1 
First	FirstScreen_nomerg	SP6657	A20611	190312_D00829_0232.lane2	-3.233	5.736	-4.336	18	29	20 ?	Main	37.4	 M2 
First	FirstScreen_nomerg	SP6658	A20612	190312_D00829_0232.lane2	-3.215	5.787	-4.244	18	28	20 ?	Main	61.9	 M3 
First	FirstScreen_nomerg	SP6659	A20613	190312_D00829_0232.lane2	-3.212	5.799	-4.134	18	27	20 ?	Main	93	 M4 
First	FirstScreen_deepermerge	SP6660	A20614	191219	-3.22	5.796	-4.03	18	26	20+19	Main	56.6	 M5 
First	FirstScreen_nomerg	SP6661	A20615	190312_D00829_0232.lane2	-3.205	5.78	-3.937	18	25	20+19	Main	68.9	 M6 
First	FirstScreen_lysmerge	SP6662	NA	11022020	-3.236	5.841	-4.462	17	31	21 ?	Main	62.2	 M7 
First	FirstScreen_lysmerge	SP6663	NA	11022020	-3.21	5.868	-4.351	17	29	20 ?	Main	56.8	 M8 
First	FirstScreen_nomerg	SP6664	A20618	190312_D00829_0232.lane2	-3.201	5.864	-4.251	17	28	20 ?	Main	52.9	 M9 
First	FirstScreen_nomerg	SP6665	A20619	190312_D00829_0232.lane2	-3.206	5.865	-4.13	17	27	20+19	Main	58.5	 M10 
First	FirstScreen_lysmerge	SP6666	NA	11022020	-3.214	5.863	-4.021	17	26	20+19	Main	53.6	 M11 
First	FirstScreen_nomerg	SP6667	A20621	190312_D00829_0232.lane2	-3.197	5.87	-3.943	17	25	20+19	Main	37.9	 M12 
First	FirstScreen_nomerg	SP6668	A20622	190312_D00829_0232.lane2	-3.231	5.959	-4.516	16	31	22.1	Main	70.2	 M13 
First	FirstScreen_nomerg	SP6669	A20623	190312_D00829_0232.lane2	-3.236	5.981	-4.366	16	29	21 ?	Main	49.3	 M14 
First	FirstScreen_nomerg	SP6670	A20624	190312_D00829_0232.lane2	-3.198	5.999	-4.26	16	28	20 ?	Main	68.8	 M15 
First	FirstScreen_nomerg	SP6671	A20625	190312_D00829_0232.lane2	-3.193	5.993	-4.141	16	27	20 ?	Main	61.2	 M16 
First	FirstScreen_nomerg	SP6672	A20626	190312_D00829_0232.lane2	-3.192	5.993	-4.054	16	26	20+19	Main	94.4	 M17 
First	FirstScreen_nomerg	SP6673	A20627	190312_D00829_0232.lane2	-3.203	6.012	-3.954	16	25	20+19	Main	62.9	 M18 
