This table contains all individual libraries processed,,,,,,,,,,,,,,,,,"Support for different branches based on sequences covering diagnostic positions. Each shows percent support calculted by the number of sequences covering diagnostic positions supporting the relative branch over the total sequences covering diagnostic positions. Significant assignments (lower 95% binomial confidence >10% support) indicated with ""**"". Note that internal branches were not considered for assignment to a lineage. ",,,,,,,,,,,,,
Lines with the same Index Library ID are due to multiple sequencing runs of the same library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All deamination rates were computed by looking at C->T substitutions on the three terminal positions of the 5' and 3' ends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Field sample ID,MPI-EVA Sample ID,Sub-sample/ Lysate ID,Indexed Library ID,Raw Sequences,Sequences ≥ 35 bp,"Mapped Sequences (≥ 35 bp, mapping quality ≥ 25)","Unique mapped sequences (≥ 35 bp, mapping quality ≥ 25)",% of sequences identified as hominin,Unique hominin sequences,Duplication rate,5' C->T substitutions [%],3' C->T substitutions [%],5' C->T substitutions [%] (95% binomial confidence intervals),3' C->T substitutions [%] (95% binomial confidence intervals),Ancient hominin mtDNA present, Number of deaminated sequences,Modern human support (all sequences),Modern human support (deaminated sequences only),Neanderthal-Hohlenstein-Stadel shared branch support (all sequences),Neanderthal-Hohlenstein-Stadel shared branch support (deaminated sequences only),Neanderthal support (all sequences),Neanderthal support (deaminated sequences only),Hohlenstein-Stadel support (all sequences),Hohlenstein-Stadel support (deaminated sequences only),Denisovan support (all sequences),Denisovan support (deaminated sequences only),Sima de los Huesos support (all sequences),Sima de los Huesos support (deaminated sequences only),Denisovan-Sima de los Huesos shared branch support (all sequences),Denisovan-Sima de los Huesos shared branch support (deaminated sequences only)
E258 ,SP7578,Lys3105,A27272,1776004,1345832,280217,25256,3.93,73,3.22,40,19,19.1-63.9,5.4-41.9,No,23,0.0% (0 / 2),0.0% (0 / 1),**60.0% (3 / 5),NA% (0 / 0),**60.0% (3 / 5),50.0% (1 / 2),0.0% (0 / 8),0.0% (0 / 2),25.0% (4 / 16),**60.0% (3 / 5),0.0% (0 / 10),0.0% (0 / 3),7.1% (1 / 14),0.0% (0 / 4)
E258 ,SP7578,Lys3105,M5452,1159219,738449,296082,29233,7.41,218,2.48,24.1,19.7,13.9-37.2,10.6-31.8,Yes,37,**61.5% (8 / 13),0.0% (0 / 1),18.8% (3 / 16),0.0% (0 / 1),14.3% (2 / 14),0.0% (0 / 1),0.0% (0 / 16),0.0% (0 / 2),**23.1% (9 / 39),**44.4% (4 / 9),0.0% (0 / 23),0.0% (0 / 3),**22.9% (11 / 48),37.5% (3 / 8)
E258 ,SP7578,Lys3105,M5452,1096137,194703,55123,14489,11.62,56,1.98,6.2,14.3,0.2-30.2,0.4-57.9,No,5,**50.0% (3 / 6),NA% (0 / 0),11.1% (1 / 9),NA% (0 / 0),0.0% (0 / 3),NA% (0 / 0),0.0% (0 / 5),NA% (0 / 0),42.9% (3 / 7),100.0% (2 / 2),0.0% (0 / 7),0.0% (0 / 1),20.0% (3 / 15),100.0% (1 / 1)
E257 ,SP7577,Lys3104,M5451,764728,454357,186196,20504,15.46,320,4.66,10.4,15.5,4.6-19.4,8.0-26.0,No,29,**95.0% (19 / 20),100.0% (1 / 1),0.0% (0 / 35),0.0% (0 / 1),11.1% (2 / 18),50.0% (1 / 2),0.0% (0 / 22),0.0% (0 / 1),2.9% (2 / 69),0.0% (0 / 1),0.0% (0 / 48),0.0% (0 / 5),0.0% (0 / 78),0.0% (0 / 5)
E256 ,SP7576,Lys3103,A27267,2777285,2074000,570564,25881,20.95,544,6.42,35.6,8.5,27.5-44.2,4.3-14.6,No,94,**40.0% (22 / 55),18.2% (2 / 11),**63.3% (31 / 49),**75.0% (3 / 4),**63.6% (21 / 33),**80.0% (4 / 5),0.0% (0 / 46),0.0% (0 / 16),5.3% (7 / 133),13.0% (3 / 23),2.1% (2 / 94),0.0% (0 / 18),2.6% (4 / 156),10.0% (3 / 30)
E256 ,SP7576,Lys9958,A32350,4335226,3168845,888317,35154,4.45,155,2.98,42.2,19.5,27.7-57.8,8.8-34.9,No,37,37.5% (3 / 8),0.0% (0 / 4),18.2% (2 / 11),33.3% (1 / 3),20.0% (1 / 5),0.0% (0 / 1),0.0% (0 / 5),0.0% (0 / 1),**34.8% (8 / 23),40.0% (2 / 5),0.0% (0 / 17),0.0% (0 / 3),**46.4% (13 / 28),**75.0% (3 / 4)
E256 ,SP7576,Lys9959,A32351,2196947,1658071,461147,30851,3.54,117,2.29,36.4,28,20.4-54.9,12.1-49.4,Yes,31,25.0% (2 / 8),0.0% (0 / 4),28.6% (2 / 7),50.0% (1 / 2),20.0% (1 / 5),50.0% (1 / 2),0.0% (0 / 9),NA% (0 / 0),**26.1% (6 / 23),**50.0% (3 / 6),5.3% (1 / 19),16.7% (1 / 6),13.0% (3 / 23),40.0% (2 / 5)
E256 ,SP7576,Lys9960,A32352,2792352,2074988,580170,34197,23.68,1043,2.44,36,27.1,30.5-41.8,21.8-33.0,Yes,260,**30.9% (17 / 55),9.1% (1 / 11),**58.2% (39 / 67),**73.3% (11 / 15),**59.6% (31 / 52),**80.0% (8 / 10),0.0% (0 / 75),0.0% (0 / 18),1.2% (2 / 169),3.0% (1 / 33),0.0% (0 / 133),0.0% (0 / 24),3.3% (8 / 242),1.7% (1 / 58)
E256 ,SP7576,Lys9961,A32353,1955116,1389156,393723,30439,5.88,196,2.19,40.6,37.8,28.5-53.6,23.8-53.5,Yes,56,**41.7% (5 / 12),0.0% (0 / 2),10.0% (1 / 10),0.0% (0 / 4),0.0% (0 / 5),0.0% (0 / 2),0.0% (0 / 13),0.0% (0 / 2),**42.9% (12 / 28),**66.7% (4 / 6),4.5% (1 / 22),0.0% (0 / 7),**62.5% (15 / 24),**87.5% (7 / 8)
E256 ,SP7576,Lys9962,A32354,2154736,1563182,359563,31366,7.06,211,1.74,25.9,6.2,15.0-39.7,1.7-15.2,No,21,**90.9% (10 / 11),NA% (0 / 0),15.4% (2 / 13),100.0% (1 / 1),12.5% (1 / 8),NA% (0 / 0),0.0% (0 / 23),0.0% (0 / 1),7.5% (3 / 40),66.7% (2 / 3),0.0% (0 / 37),0.0% (0 / 6),**20.0% (11 / 55),**57.1% (4 / 7)
