RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7047	296490	294300	195684	14	0.00208	8.86	f	178	Eulipotyphla	Soricidae	Sorex_sinalis	best	74	0.4157	59	1.2542	541	58	497	0.27	+	12	22	61.1 (35.7,82.7)	9.1 (0.2,41.3)	N/A (N/A,N/A)	0.0 (0.0,84.2)	46.1	44.2	0.15	0.031	0.13	0.241
Cap.E.7047	296490	294300	195684	14	0.02593	10.6	f	749	Artiodactyla	Cervidae	Cervus_canadensis_songaricus	best	449	0.5994	346	1.2976	1968	343	1912	1.62	++	55	98	47.2 (35.3,59.3)	32.9 (22.3,44.9)	42.9 (9.9,81.6)	42.9 (9.9,81.6)	50.0	48.9	1.04	0.119	0.603	0.198
Cap.E.7047	296490	294300	195684	16	0.002033	4.69	f	475	Primates	Cercopithecidae	Macaca_sylvanus	best	177	0.3726	146	1.2123	779	144	767	0.68	++	21	42	28.9 (16.4,44.3)	25.7 (12.5,43.3)	25.0 (0.6,80.6)	16.7 (0.4,64.1)	51.1	50.6	0.44	0.046	0.327	0.143
Cap.E.7047	296490	294300	195684	18	0.003006	3.33	f	111	Carnivora	Herpestidae	Herpestes_naso	best	39	0.3513	32	1.2187	193	32	193	0.15	-	3	5	50.0 (6.8,93.2)	33.3 (4.3,77.7)	50.0 (1.3,98.7)	100.0 (2.5,100.0)	45.8	44.6	0.08	0.011	0.074	0.155
Cap.E.7047	296490	294300	195684	1920	0.2324	84.0	f	22283	Carnivora	Hyaenidae	Crocuta_crocuta	best	22020	0.9881	13865	1.5881	6523	13639	6505	64.47	++	1734	2747	33.3 (31.7,34.9)	20.8 (19.4,22.2)	37.1 (29.8,44.8)	21.6 (17.0,26.7)	58.7	60.6	47.54	0.38	1.0	0.38
Cap.E.7047	296490	294300	195684	21	0.002441	1.1	f	489	Rodentia	Sciuridae	Dremomys_rufigenis	best	154	0.3149	131	1.1755	991	122	913	0.57	++	19	38	27.8 (9.7,53.5)	46.7 (28.3,65.7)	0.0 (0.0,84.2)	0.0 (0.0,97.5)	44.6	44.8	0.35	0.059	0.267	0.224
Cap.E.7047	296490	294300	195684	216	0.1095	9.82	f	6313	Artiodactyla	Bovidae	Bison_schoetensacki	best	4701	0.7446	3674	1.2795	4985	3444	4787	16.28	++	451	766	38.4 (34.9,41.9)	20.0 (17.3,22.9)	25.0 (12.1,42.2)	11.0 (5.1,19.8)	52.7	53.2	11.84	0.305	0.999	0.305
Cap.E.7047	296490	294300	195684	22	0.003456	6.59	f	271	Primates	Cebidae	Leontopithecus_rosalia	best	151	0.5571	134	1.1268	448	133	439	0.62	-	9	26	23.8 (8.2,47.2)	11.4 (3.2,26.7)	0.0 (0.0,97.5)	0.0 (0.0,97.5)	54.8	55.5	0.43	0.026	0.318	0.083
Cap.E.7047	296490	294300	195684	22	0.003658	1.0	f	159	Carnivora	Mustelidae	Martes_foina	best	29	0.1823	27	1.0740	681	27	681	0.12	++	6	8	60.0 (14.7,94.7)	50.0 (11.8,88.2)	N/A (N/A,N/A)	0.0 (0.0,97.5)	56.1	57.2	0.09	0.041	0.077	0.53
Cap.E.7047	296490	294300	195684	24	0.003351	1.62	f	157	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	60	0.3821	47	1.2765	527	47	527	0.22	-	4	9	20.0 (0.5,71.6)	23.1 (5.0,53.8)	N/A (N/A,N/A)	N/A (N/A,N/A)	44.9	42.1	0.12	0.031	0.105	0.298
