RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.6062	1140295	1127809	707682	1	0.0001553	1.0	f	242	Chiroptera	Pteropodidae	Scotonycteris_zenkeri_occidentalis	best	53	0.2190	39	1.3589	537	35	494	0.13	+	8	11	85.7 (42.1,99.6)	30.0 (6.7,65.2)	100.0 (2.5,100.0)	100.0 (2.5,100.0)	49.7	53.3	0.11	0.032	0.095	0.337
Cap.E.6062	1140295	1127809	707682	13	0.002472	6.46	f	685	Primates	Cebidae	Sapajus_xanthosternos	best	441	0.6437	278	1.5863	503	230	488	0.86	++	52	85	46.8 (34.0,59.9)	43.5 (31.0,56.7)	44.4 (13.7,78.8)	66.7 (22.3,95.7)	54.8	57.0	0.89	0.03	0.548	0.055
Cap.E.6062	1140295	1127809	707682	14	0.001779	12.2	f	786	Primates	Cercopithecidae	Macaca_sylvanus	best	348	0.4427	237	1.4683	665	228	639	0.85	++	61	96	42.3 (30.6,54.6)	46.3 (34.0,58.9)	0.0 (0.0,60.2)	0.0 (0.0,52.2)	55.8	54.2	0.79	0.04	0.504	0.079
Cap.E.6062	1140295	1127809	707682	145	0.04551	11.2	f	8372	Perissodactyla	Equidae	Equus_ovodovi	best	7888	0.9421	3107	2.5387	3056	3106	3036	11.67	++	598	948	50.1 (46.4,53.9)	34.3 (31.1,37.7)	50.0 (37.8,62.2)	34.3 (25.2,44.4)	50.9	51.2	9.62	0.186	0.999	0.186
Cap.E.6062	1140295	1127809	707682	164	0.06288	1.77	f	851	Primates	Hominidae	Homo_sapiens	fixed	487	0.5722	240	2.0291	5853	-	-	0.90	++	44	65	32.8 (21.8,45.4)	30.3 (20.2,41.9)	20.0 (0.5,71.6)	14.3 (0.4,57.9)	45.9	45.2	0.66	0.353	0.444	0.795
Cap.E.6062	1140295	1127809	707682	164	0.08316	29.7	f	11654	Artiodactyla	Bovidae	Bison_schoetensacki	best	10099	0.8665	4843	2.0852	3711	4450	3658	16.73	++	795	1298	49.2 (46.1,52.3)	29.5 (26.8,32.3)	55.9 (43.3,67.9)	28.1 (20.8,36.5)	55.5	55.7	16.39	0.227	0.999	0.227
Cap.E.6062	1140295	1127809	707682	18	0.002761	1.61	f	456	Carnivora	Mustelidae	Mustela_kathiah	best	95	0.2083	54	1.7592	656	53	605	0.19	++	15	26	40.0 (16.3,67.7)	68.8 (41.3,89.0)	66.7 (9.4,99.2)	66.7 (9.4,99.2)	52.6	54.6	0.17	0.039	0.14	0.281
Cap.E.6062	1140295	1127809	707682	19	0.01046	6.26	f	3891	Artiodactyla	Cervidae	Cervus_hanglu_yarkandensis	best	2954	0.7591	895	3.3005	1530	888	1520	3.33	++	185	317	62.8 (55.8,69.4)	30.1 (23.9,36.9)	53.8 (25.1,80.8)	19.4 (8.2,36.0)	51.6	51.4	2.82	0.093	0.917	0.102
Cap.E.6062	1140295	1127809	707682	2	0.001715	2.5	f	379	Proboscidea	Elephantidae	Mammuthus_primigenius	best	317	0.8364	161	1.9689	908	161	908	0.60	++	26	43	51.5 (33.5,69.2)	30.8 (17.0,47.6)	100.0 (29.2,100.0)	42.9 (9.9,81.6)	49.4	49.9	0.47	0.054	0.341	0.158
Cap.E.6062	1140295	1127809	707682	2026	0.2452	177.0	f	58043	Carnivora	Hyaenidae	Crocuta_crocuta	best	57689	0.9939	14293	4.0361	7602	13700	7418	51.50	++	2260	3353	43.7 (42.0,45.4)	29.9 (28.3,31.6)	41.7 (35.4,48.2)	29.8 (24.9,35.0)	58.9	61.0	49.21	0.443	1.0	0.443
Cap.E.6062	1140295	1127809	707682	230	0.03272	5.65	f	1776	Perissodactyla	Rhinocerotidae	Coelodonta_antiquitatis	best	1634	0.9200	539	3.0315	1924	539	1924	2.02	++	85	154	38.7 (28.8,49.4)	53.5 (43.3,63.5)	41.7 (15.2,72.3)	50.0 (18.7,81.3)	51.7	50.8	1.69	0.117	0.775	0.15
Cap.E.6062	1140295	1127809	707682	24	0.003351	5.33	f	696	Chiroptera	Phyllostomidae	Artibeus_jamaicensis	best	292	0.4195	107	2.7289	519	105	464	0.39	-	6	24	7.1 (0.2,33.9)	23.8 (8.2,47.2)	0.0 (0.0,97.5)	N/A (N/A,N/A)	46.5	46.4	0.29	0.031	0.232	0.134
Cap.E.6062	1140295	1127809	707682	28	0.003608	19.2	f	422	Carnivora	Herpestidae	Suricata_suricatta	best	242	0.5734	93	2.6021	294	93	294	0.34	++	24	30	58.8 (32.9,81.6)	66.7 (43.0,85.4)	0.0 (0.0,84.2)	0.0 (0.0,97.5)	46.8	44.9	0.25	0.017	0.202	0.085
Cap.E.6062	1140295	1127809	707682	28	0.003676	54.8	f	1560	Rodentia	Muridae	Rattus_norvegicus	best	576	0.3692	170	3.3882	550	170	550	0.63	++	39	68	67.4 (51.5,80.9)	30.2 (17.2,46.1)	100.0 (29.2,100.0)	50.0 (11.8,88.2)	45.2	45.5	0.47	0.033	0.34	0.099
Cap.E.6062	1140295	1127809	707682	30	0.003429	3.73	f	2154	Rodentia	Sciuridae	Dremomys_pernyi	best	809	0.3755	242	3.3429	895	224	806	0.84	++	54	95	28.6 (13.2,48.7)	64.5 (52.7,75.1)	50.0 (11.8,88.2)	100.0 (29.2,100.0)	44.0	43.2	0.63	0.054	0.431	0.125
Cap.E.6062	1140295	1127809	707682	30	0.008818	4.1	f	732	Eulipotyphla	Soricidae	Chodsigoa_parva	best	580	0.7923	170	3.4117	679	169	629	0.63	++	44	79	80.0 (65.4,90.4)	23.9 (12.6,38.8)	75.0 (19.4,99.4)	30.0 (6.7,65.2)	50.1	48.3	0.49	0.039	0.353	0.111
Cap.E.6062	1140295	1127809	707682	34	0.004469	27.5	f	305	Carnivora	Viverridae	Arctictis_binturong	best	234	0.7672	144	1.6250	804	142	767	0.53	++	34	46	61.1 (43.5,76.9)	43.8 (26.4,62.3)	40.0 (5.3,85.3)	40.0 (5.3,85.3)	51.7	53.6	0.45	0.048	0.329	0.147
Cap.E.6062	1140295	1127809	707682	37	0.01089	1.24	f	563	Carnivora	Ursidae	Ursus_arctos	best	285	0.5062	123	2.3170	960	120	914	0.45	++	25	53	38.1 (18.1,61.6)	52.8 (35.5,69.6)	40.0 (5.3,85.3)	66.7 (9.4,99.2)	48.0	45.0	0.34	0.056	0.262	0.214
Cap.E.6062	1140295	1127809	707682	40	0.00461	122.0	f	1714	Rodentia	Cricetidae	Ondatra_zibethicus	best	1084	0.6324	571	1.8984	557	571	557	2.14	++	111	154	57.0 (47.1,66.5)	35.4 (27.7,43.7)	40.0 (5.3,85.3)	14.3 (1.8,42.8)	49.3	48.3	1.72	0.034	0.781	0.043
Cap.E.6062	1140295	1127809	707682	7	0.002448	2.14	f	1009	Carnivora	Canidae	Canis_lupus_chanco	best	744	0.7373	457	1.6280	1565	452	1472	1.69	++	91	142	49.1 (39.5,58.7)	37.2 (28.3,46.8)	46.2 (19.2,74.9)	60.0 (26.2,87.8)	50.9	50.0	1.38	0.093	0.705	0.132
Cap.E.6062	1140295	1127809	707682	7	0.01016	1.57	f	1385	Carnivora	Felidae	Panthera_leo_persica	best	1076	0.7768	532	2.0225	1257	526	1223	1.97	++	162	270	59.7 (51.2,67.8)	53.8 (45.7,61.7)	55.6 (30.8,78.5)	37.0 (19.4,57.6)	53.1	52.0	1.67	0.074	0.772	0.096
