RG	ReadsRaw	ReadsFiltered	ReadsLengthfiltered	SpeciesKmers	KmerCoverage	KmerDupRate	ExtractLVL	ReadsExtracted	Order	Family	Species	Reference	ReadsMapped	ProportionMapped	ReadsDeduped	DuplicationRate	CoveredBP	ReadsBedfiltered	PostBedCoveredBP	FamPercentage	Ancientness	ReadsDeam(1term)	ReadsDeam(3term)	Deam5(95ci)	Deam3(95ci)	Deam5Cond(95ci)	Deam3Cond(95ci)	MeanFragmentLength	MeanFragmentLength(3term)	Coverage	Breadth	ExpectedBreadth	ProportionExpectedBreadth
Cap.E.7047	1704480	1684171	1118795	11	0.002159	2.09	f	1081	Primates	Lepilemuridae	Lepilemur_hollandorum	best	825	0.7631	294	2.8061	567	292	518	0.46	++	64	108	60.0 (47.6,71.5)	28.4 (19.3,39.0)	42.9 (9.9,81.6)	27.3 (6.0,61.0)	46.6	45.6	0.8	0.033	0.508	0.065
Cap.E.7047	1704480	1684171	1118795	13	0.002986	11.7	f	948	Primates	Cheirogaleidae	Microcebus_tanosi	best	493	0.5200	252	1.9563	877	174	845	0.27	++	52	102	50.0 (32.9,67.1)	63.3 (49.9,75.4)	44.4 (13.7,78.8)	66.7 (22.3,95.7)	49.7	47.8	0.74	0.052	0.48	0.109
Cap.E.7047	1704480	1684171	1118795	132	0.03886	7.08	f	1609	Carnivora	Ursidae	Ursus_arctos	best	926	0.5755	511	1.8121	2584	474	2520	0.75	++	62	123	34.0 (24.6,44.5)	33.7 (24.6,43.8)	40.0 (12.2,73.8)	44.4 (13.7,78.8)	53.6	51.0	1.6	0.151	0.757	0.2
Cap.E.7047	1704480	1684171	1118795	15	0.001293	5.87	f	481	Rodentia	Dipodidae	Sicista_strandi	best	118	0.2453	64	1.8437	499	64	499	0.10	++	10	17	38.5 (13.9,68.4)	31.2 (11.0,58.7)	0.0 (0.0,97.5)	0.0 (0.0,84.2)	45.1	44.5	0.17	0.03	0.143	0.211
Cap.E.7047	1704480	1684171	1118795	15	0.001673	10.6	f	4566	Rodentia	Cricetidae	Microtus_cabrerae	best	3003	0.6576	1163	2.5821	1193	1163	1193	1.85	++	140	277	36.8 (30.4,43.5)	23.4 (18.5,28.9)	41.7 (15.2,72.3)	29.4 (10.3,56.0)	50.2	48.5	3.57	0.073	0.957	0.076
Cap.E.7047	1704480	1684171	1118795	16	0.002044	1.19	f	121	Primates	Pitheciidae	Plecturocebus_donacophilus	best	30	0.2479	18	1.6666	399	16	329	0.02	-	1	5	0.0 (0.0,97.5)	16.7 (0.4,64.1)	N/A (N/A,N/A)	N/A (N/A,N/A)	47.4	43.8	0.05	0.024	0.046	0.519
Cap.E.7047	1704480	1684171	1118795	18	0.002253	8.17	f	611	Chiroptera	Pteropodidae	Rousettus_amplexicaudatus	best	153	0.2504	96	1.5937	801	82	729	0.13	+	17	31	61.9 (38.4,81.9)	16.7 (4.7,37.4)	N/A (N/A,N/A)	0.0 (0.0,70.8)	53.3	52.5	0.3	0.048	0.236	0.204
Cap.E.7047	1704480	1684171	1118795	18	0.03333	48.2	f	4159	Artiodactyla	Cervidae	Cervus_canadensis_songaricus	best	2566	0.6169	1159	2.2139	3064	1151	3013	1.83	++	164	296	47.2 (40.6,53.8)	21.3 (16.6,26.7)	25.0 (5.5,57.2)	9.7 (2.0,25.8)	52.0	51.9	3.65	0.186	0.96	0.194
Cap.E.7047	1704480	1684171	1118795	20	0.002729	1.75	f	578	Rodentia	Spalacidae	Eospalax_smithii	best	47	0.0813	27	1.7407	475	26	434	0.04	-	3	3	37.5 (8.5,75.5)	0.0 (0.0,52.2)	N/A (N/A,N/A)	N/A (N/A,N/A)	46.0	51.0	0.07	0.029	0.064	0.449
Cap.E.7047	1704480	1684171	1118795	22	0.002517	5.68	f	230	Eulipotyphla	Talpidae	Uropsilus_sp._1_FT-2014	best	47	0.2043	31	1.5161	634	31	634	0.04	-	3	5	40.0 (5.3,85.3)	16.7 (0.4,64.1)	N/A (N/A,N/A)	N/A (N/A,N/A)	54.6	57.0	0.1	0.038	0.086	0.443
